location,year,month,1,2,3,4,5
"Bangkok University Rangsit Campus, Pathum Thani",2014,1,3.0,1.0,3.0,1.0,0.0
"Bangkok University Rangsit Campus, Pathum Thani",2014,2,7.0,7.0,5.0,3.0,6.0
"Bangkok University Rangsit Campus, Pathum Thani",2014,3,6.0,5.0,5.0,7.0,7.0
"Bangkok University Rangsit Campus, Pathum Thani",2014,4,6.0,5.0,7.0,4.0,8.0
"Bangkok University Rangsit Campus, Pathum Thani",2014,5,5.0,9.0,8.0,4.0,5.0
"Bangkok University Rangsit Campus, Pathum Thani",2014,6,4.0,7.0,7.0,6.0,6.0
"Bangkok University Rangsit Campus, Pathum Thani",2014,7,6.0,8.0,6.0,8.0,3.0
"Bangkok University Rangsit Campus, Pathum Thani",2014,8,1.0,4.0,10.0,7.0,9.0
"Bangkok University Rangsit Campus, Pathum Thani",2014,9,6.0,4.0,6.0,4.0,9.0
"Bangkok University Rangsit Campus, Pathum Thani",2014,10,9.0,9.0,3.0,5.0,5.0
"Bangkok University Rangsit Campus, Pathum Thani",2014,11,5.0,6.0,6.0,9.0,4.0
"Bangkok University Rangsit Campus, Pathum Thani",2014,12,3.0,5.0,2.0,9.0,10.0
"Bangkok University Rangsit Campus, Pathum Thani",2015,1,8.0,3.0,8.0,7.0,5.0
"Bangkok University Rangsit Campus, Pathum Thani",2015,2,6.0,8.0,3.0,7.0,4.0
"Bangkok University Rangsit Campus, Pathum Thani",2015,3,7.0,2.0,4.0,7.0,10.0
"Bangkok University Rangsit Campus, Pathum Thani",2015,4,3.0,5.0,4.0,0.0,8.0
"Bangkok University Rangsit Campus, Pathum Thani",2015,5,5.0,2.0,5.0,8.0,9.0
"Bangkok University Rangsit Campus, Pathum Thani",2015,6,4.0,6.0,4.0,5.0,10.0
"Bangkok University Rangsit Campus, Pathum Thani",2015,7,11.0,6.0,2.0,5.0,7.0
"Bangkok University Rangsit Campus, Pathum Thani",2015,8,6.0,4.0,4.0,3.0,4.0
"Bangkok University Rangsit Campus, Pathum Thani",2015,9,7.0,8.0,5.0,5.0,5.0
"Bangkok University Rangsit Campus, Pathum Thani",2015,10,6.0,8.0,8.0,4.0,5.0
"Bangkok University Rangsit Campus, Pathum Thani",2015,11,1.0,3.0,2.0,6.0,2.0
