,year,month,date,pm25,pm10,o3,no2,so2,co
0,2017,1,2017-01-31 00:00:00.000000000,,,,,,
1,2017,2,2017-02-01 00:00:00.000000000,,,,,,
2,2017,5,2017-05-23 00:00:00.000000000,67.28571428571429,63.1764705882353,,13.125,,
3,2017,6,2017-06-15 12:00:00.000000000,59.03333333333333,38.266666666666666,,11.0,,
4,2017,7,2017-07-16 00:00:00.000000000,60.903225806451616,37.29032258064516,,9.225806451612904,,
5,2017,8,2017-08-16 00:00:00.000000000,62.61290322580645,36.87096774193548,,9.096774193548388,,
6,2017,9,2017-09-15 19:02:04.137931008,67.64285714285714,39.607142857142854,,13.071428571428571,,
7,2017,10,2017-10-16 00:00:00.000000000,84.26666666666667,44.6,,15.9,,
8,2017,11,2017-11-15 12:00:00.000000000,94.0,50.56666666666667,,19.366666666666667,,
9,2017,12,2017-12-16 00:00:00.000000000,104.3225806451613,51.96774193548387,,20.193548387096776,,
10,2018,1,2018-01-16 00:00:00.000000000,108.0,54.0,,21.35483870967742,,
11,2018,2,2018-02-14 12:00:00.000000000,121.71428571428571,57.357142857142854,20.285714285714285,19.0,1.0,
12,2018,3,2018-03-16 00:00:00.000000000,91.87096774193549,46.064516129032256,,14.612903225806452,,
13,2018,4,2018-04-15 12:00:00.000000000,83.1,39.56666666666667,,13.633333333333333,,
14,2018,5,2018-05-16 00:00:00.000000000,84.74193548387096,35.03225806451613,,17.451612903225808,,
15,2018,6,2018-06-15 12:00:00.000000000,59.36666666666667,35.03333333333333,,13.2,,
16,2018,7,2018-07-16 00:00:00.000000000,65.2258064516129,43.58064516129032,7.857142857142857,13.193548387096774,1.5,
17,2018,8,2018-08-16 00:00:00.000000000,63.32258064516129,38.25806451612903,,12.35483870967742,,
18,2018,9,2018-09-15 12:00:00.000000000,70.43333333333334,40.733333333333334,,18.533333333333335,,
19,2018,10,2018-10-16 00:00:00.000000000,80.6774193548387,45.41935483870968,,20.774193548387096,,
20,2018,11,2018-11-15 12:00:00.000000000,99.86666666666666,57.56666666666667,,22.366666666666667,,
