,w_0,w_1
0,1988-01-01,12.9
1,1988-02-01,18.1
3,1988-03-01,17.5
4,1988-04-01,16.1
6,1988-05-01,16.8
7,1988-06-01,23.5
9,1988-07-01,14.2
10,1988-08-01,26.6
12,1988-09-01,27.7
14,1988-10-01,19.6
15,1988-11-01,23.3
17,1988-12-01,23.8
18,1989-01-01,22.1
20,1989-02-01,12.7
21,1989-03-01,19.9
23,1989-04-01,18.0
24,1989-05-01,21.7
26,1989-06-01,20.4
27,1989-07-01,19.2
29,1989-08-01,22.6
30,1989-09-01,15.1
32,1989-10-01,18.3
33,1989-11-01,16.6
35,1989-12-01,10.2
36,1990-01-01,8.3
38,1990-02-01,11.5
40,1990-03-01,12.6
41,1990-04-01,15.3
43,1990-05-01,15.4
44,1990-06-01,14.7
46,1990-07-01,18.2
47,1990-08-01,14.9
49,1990-09-01,15.6
50,1990-10-01,16.6
52,1990-11-01,17.5
53,1990-12-01,12.1
55,1991-01-01,15.5
56,1991-02-01,12.9
58,1991-03-01,17.2
59,1991-04-01,15.1
61,1991-05-01,12.2
62,1991-06-01,3.6
64,1991-07-01,10.8
66,1991-08-01,7.3
67,1991-09-01,6.3
69,1991-10-01,5.2
70,1991-11-01,4.2
72,1991-12-01,6.2
73,1992-01-01,8.5
75,1992-02-01,9.1
76,1992-03-01,7.6
78,1992-04-01,8.9
79,1992-05-01,3.8
81,1992-06-01,17.6
82,1992-07-01,12.7
84,1992-08-01,13.5
85,1992-09-01,19.9
87,1992-10-01,19.7
89,1992-11-01,19.9
90,1992-12-01,22.9
92,1993-01-01,8.9
93,1993-02-01,16.6
95,1993-03-01,9.4
96,1993-04-01,13.5
98,1993-05-01,21.6
99,1993-06-01,14.6
101,1993-07-01,13.4
102,1993-08-01,7.7
104,1993-09-01,13.1
105,1993-10-01,12.2
107,1993-11-01,7.5
108,1993-12-01,7.2
110,1994-01-01,12.8
112,1994-02-01,3.0
113,1994-03-01,11.1
114,1994-04-01,5.9
116,1994-05-01,4.2
118,1994-06-01,9.2
119,1994-07-01,3.4
121,1994-08-01,12.7
122,1994-09-01,6.8
124,1994-10-01,8.0
125,1994-11-01,12.4
127,1994-12-01,6.9
128,1995-01-01,3.9
130,1995-02-01,3.8
131,1995-03-01,7.1
133,1995-04-01,8.9
134,1995-05-01,9.7
136,1995-06-01,4.6
137,1995-07-01,8.8
139,1995-08-01,6.1
141,1995-09-01,3.2
142,1995-10-01,2.5
144,1995-11-01,5.7
145,1995-12-01,3.9
147,1996-01-01,8.8
148,1996-02-01,14.1
150,1996-03-01,7.8
151,1996-04-01,9.7
153,1996-05-01,9.1
154,1996-06-01,5.3
156,1996-07-01,6.3
157,1996-08-01,10.4
159,1996-09-01,11.1
160,1996-10-01,14.2
162,1996-11-01,7.1
164,1996-12-01,7.1
165,1997-01-01,4.3
167,1997-02-01,0.4
168,1997-03-01,6.1
170,1997-04-01,5.5
171,1997-05-01,4.6
173,1997-06-01,5.1
174,1997-07-01,4.5
176,1997-08-01,-3.4
177,1997-09-01,-3.7
179,1997-10-01,-5.8
180,1997-11-01,-9.0
182,1997-12-01,-1.2
183,1998-01-01,-8.3
185,1998-02-01,-5.5
186,1998-03-01,-14.9
188,1998-04-01,-10.6
189,1998-05-01,-14.9
191,1998-06-01,-8.2
193,1998-07-01,-10.3
194,1998-08-01,-9.0
196,1998-09-01,-10.5
197,1998-10-01,-4.6
