date, pm25, pm10, o3, no2, so2, co,location
2024-10-01, 31, 18, , , , ,"public-relations department, bangkok"
2024-10-02, 33, 19, , , , ,"public-relations department, bangkok"
2024-10-03, 40, 14, , , , ,"public-relations department, bangkok"
2024-10-04, 30, 28, , , , ,"public-relations department, bangkok"
2024-10-05, 52, 29, , , , ,"public-relations department, bangkok"
2024-10-06, 66, 33, , , , ,"public-relations department, bangkok"
2024-10-07, 66, 38, , , , ,"public-relations department, bangkok"
2024-10-08, 72, 17, , , , ,"public-relations department, bangkok"
2024-10-09, 40, 28, , , , ,"public-relations department, bangkok"
2024-10-10, 59, 17, , , , ,"public-relations department, bangkok"
2024-10-11, 37, , , , , ,"public-relations department, bangkok"
2024-07-01, 24, 21, , , , ,"public-relations department, bangkok"
2024-07-02, 35, 22, , , , ,"public-relations department, bangkok"
2024-07-03, 30, 21, , , , ,"public-relations department, bangkok"
2024-07-04, 39, 20, , , , ,"public-relations department, bangkok"
2024-07-05, 30, 18, , , , ,"public-relations department, bangkok"
2024-07-06, 40, 17, , , , ,"public-relations department, bangkok"
2024-07-07, 36, 18, , , , ,"public-relations department, bangkok"
2024-07-08, 35, 20, , , , ,"public-relations department, bangkok"
2024-07-09, 36, 16, , , , ,"public-relations department, bangkok"
2024-07-10, 28, 22, , , , ,"public-relations department, bangkok"
2024-07-11, 38, 19, , , , ,"public-relations department, bangkok"
2024-07-12, 36, 23, , , , ,"public-relations department, bangkok"
2024-07-13, 44, 20, , , , ,"public-relations department, bangkok"
2024-07-14, 37, 21, , , , ,"public-relations department, bangkok"
2024-07-15, 36, 19, , , , ,"public-relations department, bangkok"
2024-07-16, 35, 20, , , , ,"public-relations department, bangkok"
2024-07-17, 34, 19, , , , ,"public-relations department, bangkok"
2024-07-18, 35, 21, , , , ,"public-relations department, bangkok"
2024-07-19, 36, 18, , , , ,"public-relations department, bangkok"
2024-07-20, 34, 21, , , , ,"public-relations department, bangkok"
2024-07-21, 39, 21, , , , ,"public-relations department, bangkok"
2024-07-22, 40, 25, , , , ,"public-relations department, bangkok"
2024-07-23, 44, 15, , , , ,"public-relations department, bangkok"
2024-07-24, 25, 18, , , , ,"public-relations department, bangkok"
2024-07-25, 32, 20, , , , ,"public-relations department, bangkok"
2024-07-26, 42, 18, , , , ,"public-relations department, bangkok"
2024-07-27, 35, 13, , , , ,"public-relations department, bangkok"
2024-07-28, 19, 15, , , , ,"public-relations department, bangkok"
2024-07-29, 23, 18, , , , ,"public-relations department, bangkok"
2024-07-30, 35, 17, , , , ,"public-relations department, bangkok"
2024-07-31, 29, 17, , , , ,"public-relations department, bangkok"
2024-08-01, 31, 23, , , , ,"public-relations department, bangkok"
2024-08-02, 48, 22, , , , ,"public-relations department, bangkok"
2024-08-03, 44, 16, , , , ,"public-relations department, bangkok"
2024-08-04, 28, 19, , , , ,"public-relations department, bangkok"
2024-08-05, 36, 23, , , , ,"public-relations department, bangkok"
2024-08-06, 42, 20, , , , ,"public-relations department, bangkok"
2024-08-07, 36, 22, , , , ,"public-relations department, bangkok"
