date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,31.76,76.55,44.88,38.47,61.51,12.381,172
2019-12-10T00:00:00.000Z,17.55,133.82,49.44,29.33,63.18,21.981,347
2019-12-11T00:00:00.000Z,46.3,115.2,68.56,55.43,96.44,21.119,148
2019-12-12T00:00:00.000Z,47.39,72.12,57.81,54.91,61.76,5.121,168
2019-12-13T00:00:00.000Z,60.2,90.04,72.09,67.75,78.47,7.205,149
2019-12-14T00:00:00.000Z,21.51,85.28,49.64,35.9,55.97,13.526,205
2019-12-15T00:00:00.000Z,18.3,260.36,38.24,26.55,44.72,24.373,480
2019-12-17T00:00:00.000Z,22.91,48.44,36.81,29.11,41.44,6.872,164
2019-12-18T00:00:00.000Z,18.21,39.72,26.76,23.44,32.96,5.527,84
2019-12-19T00:00:00.000Z,23.67,96.98,34.04,29.27,40.5,17.833,189
2019-12-20T00:00:00.000Z,36.04,67.86,45.68,41.81,48.81,5.488,221
2019-12-21T00:00:00.000Z,10.14,89.28,30.32,18.55,40.13,17.789,461
2019-12-22T00:00:00.000Z,13.88,94.6,25.45,17.7,36.65,19.293,524
2019-12-23T00:00:00.000Z,18.57,41.61,27.6,24.34,30.99,4.922,186
2019-12-24T00:00:00.000Z,21.22,41.24,26.49,24.62,30.18,4.435,168
2019-12-25T00:00:00.000Z,19.47,44.32,25.44,23.33,33.39,6.307,173
2019-12-26T00:00:00.000Z,24.04,76.03,38.52,31.32,55.39,14.061,183
2019-12-27T00:00:00.000Z,37.11,102.41,53.04,44.25,63.29,16.696,219
2019-12-28T00:00:00.000Z,18.38,79.81,52.3,37.84,59.35,14.241,314
2019-12-29T00:00:00.000Z,18.57,152.83,41.84,25.5,50.25,18.28,530
2019-12-30T00:00:00.000Z,41.99,97.68,83.89,73.29,88.39,15.316,196
2019-12-31T00:00:00.000Z,11.76,128.82,34.25,17.88,50.3,27.966,306
2020-01-01T00:00:00.000Z,5.8,37.94,19.73,10.67,24.56,8.098,496
2020-01-02T00:00:00.000Z,20.3,49.12,31.25,25.21,37.63,6.721,184
2020-01-03T00:00:00.000Z,26.07,62.52,33.29,30.9,37.39,5.675,201
2020-01-04T00:00:00.000Z,10.35,73.38,35.14,29.1,38.85,11.338,328
2020-01-05T00:00:00.000Z,13.75,115.74,39.9,20.51,49.95,16.861,475
2020-01-06T00:00:00.000Z,36.59,87.8,58.84,45.25,71.79,14.483,166
2020-01-07T00:00:00.000Z,35.11,120.71,49.48,42.98,67.37,22.268,153
2020-01-08T00:00:00.000Z,39.94,76.54,58.18,54.4,60.99,6.607,77
2020-01-09T00:00:00.000Z,39.44,63.78,48.72,45.69,55.14,5.919,171
2020-01-10T00:00:00.000Z,26.68,75.77,39.97,32.34,45.42,11.331,178
2020-01-11T00:00:00.000Z,31.51,93.85,47.96,41.07,54.24,12.462,456
2020-01-12T00:00:00.000Z,23.01,228.16,39.99,31.16,46.93,25.655,466
2020-01-13T00:00:00.000Z,31.48,67.02,40.58,38.21,43.22,5.806,152
2020-01-14T00:00:00.000Z,24.48,109.24,31.64,29.61,34.57,8.736,137
2020-01-15T00:00:00.000Z,30.18,1128.45,49.8,39.97,1076.42,511.234,155
2020-01-16T00:00:00.000Z,31.71,50.92,39.22,36.53,41.06,3.389,147
2020-01-17T00:00:00.000Z,61.46,932.58,78.13,73.47,102.05,123.148,188
2020-01-18T00:00:00.000Z,67.92,1183.94,87.9,80.13,98.83,398.984,421
2020-01-19T00:00:00.000Z,74.44,141.51,88.32,82.72,100.34,12.728,424
2020-01-20T00:00:00.000Z,65.84,981.06,83.18,77.56,87.64,119.986,138
2020-01-21T00:00:00.000Z,33.72,57.1,43.84,41.6,46.42,4.102,162
2020-01-23T00:00:00.000Z,21.68,38.94,29.6,27.18,31.58,3.142,67
2020-01-24T00:00:00.000Z,17.67,32.95,24.5,22.66,26.6,2.931,95
2020-01-25T00:00:00.000Z,10.33,32.4,16.03,14.48,21.72,5.026,246
2020-01-26T00:00:00.000Z,11.21,31.92,16.8,14.71,20.98,4.323,256
2020-01-27T00:00:00.000Z,13.09,39.61,26.36,16.77,32.51,7.956,50
2020-01-28T00:00:00.000Z,15.4,36.54,18.32,17.13,20.8,5.457,76
2020-01-29T00:00:00.000Z,14.92,42.86,20.04,17.94,24.18,6.142,94
2020-01-30T00:00:00.000Z,24.52,54.06,38.35,34.54,41.54,5.482,94
2020-01-31T00:00:00.000Z,49.95,76.84,60,55.22,66.8,7.468,84
2020-02-01T00:00:00.000Z,41.3,130.82,56.32,49.45,65.93,19.235,219
2020-02-02T00:00:00.000Z,50.42,133.21,72.37,60.88,83.11,18.647,308
2020-02-03T00:00:00.000Z,53.22,81.19,62.96,60,65.45,5.324,102
2020-02-04T00:00:00.000Z,34.94,53.63,44.94,40.44,47.98,4.576,73
2020-02-05T00:00:00.000Z,21.14,33.58,26.46,24.01,28.56,2.857,69
2020-02-06T00:00:00.000Z,22.92,57.52,29.47,27.63,33.13,7.532,49
2020-02-07T00:00:00.000Z,26.12,53.92,32.61,29.88,34.22,6.436,64
2020-02-08T00:00:00.000Z,31.54,85.74,48.6,41.18,55.74,12.097,190
2020-02-09T00:00:00.000Z,30.65,79.28,45.14,40.88,55.85,9.735,306
2020-02-10T00:00:00.000Z,20.9,89.3,34.08,30.44,46.74,11.251,240
2020-02-11T00:00:00.000Z,35.59,62.65,42.38,40.08,44.37,3.819,114
2020-02-12T00:00:00.000Z,11.44,23.81,16.86,15.99,18.34,2.013,127
2020-02-13T00:00:00.000Z,14.7,25.14,19.05,18.07,20.41,2.113,93
2020-02-14T00:00:00.000Z,10.74,38.19,18.16,14.95,27.67,7.636,113
2020-02-15T00:00:00.000Z,3.08,63.26,16.29,10.7,21.92,9.965,248
2020-02-16T00:00:00.000Z,4.29,37.26,10.48,8,14.18,7.77,334
2020-02-17T00:00:00.000Z,7.81,39.29,11.92,10.38,25.1,8.907,111
2020-02-18T00:00:00.000Z,22.64,37.06,28.87,27.45,31.73,3.22,84
