date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,23.58,52.44,33.14,27.62,45.02,8.88,172
2019-12-10T00:00:00.000Z,14.06,98.36,36.94,21.38,47.19,16.42,347
2019-12-11T00:00:00.000Z,37.45,82.91,49.66,42.66,70.5,14.623,148
2019-12-12T00:00:00.000Z,36.6,54.02,44.77,41.65,48.96,4.238,168
2019-12-13T00:00:00.000Z,46.35,67.73,51.49,49.98,56.6,4.517,149
2019-12-14T00:00:00.000Z,16.53,60.99,34.95,26.07,40.08,9.701,205
2019-12-15T00:00:00.000Z,14.58,137.68,27.67,19.27,30.97,14.386,480
2019-12-17T00:00:00.000Z,16.16,35.95,25.52,18.48,30.34,5.882,164
2019-12-18T00:00:00.000Z,15.12,22.88,18.57,17.26,20.62,2.069,84
2019-12-19T00:00:00.000Z,19.77,62.5,27.32,23.45,30.16,10.03,189
2019-12-20T00:00:00.000Z,25.88,58.18,37.36,33.71,40.15,5.046,221
2019-12-21T00:00:00.000Z,8.14,75.28,25.05,13.99,33.64,15.79,461
2019-12-22T00:00:00.000Z,10.4,72.15,19.18,13.49,29.6,15.397,524
2019-12-23T00:00:00.000Z,15.89,30.88,21.98,20,23.54,3.094,186
2019-12-24T00:00:00.000Z,16.86,32.54,21.28,19.64,23.72,3.771,168
2019-12-25T00:00:00.000Z,16.96,34.85,20.58,19.5,28.82,5.11,173
2019-12-26T00:00:00.000Z,21.4,57.95,31.98,25.77,45.82,10.356,183
2019-12-27T00:00:00.000Z,31.88,89.74,45.24,37.83,53.42,14.529,219
2019-12-28T00:00:00.000Z,14.29,58.07,40.17,30.28,43.78,10.004,314
2019-12-29T00:00:00.000Z,14.76,68.18,31.74,19.88,37.18,12.743,530
2019-12-30T00:00:00.000Z,32.26,74.93,65.51,57.27,68.29,12.745,196
2019-12-31T00:00:00.000Z,8.34,96.61,24.85,13.66,36.36,20.534,306
2020-01-01T00:00:00.000Z,4.78,25.3,14.37,7.07,17.79,5.708,496
2020-01-02T00:00:00.000Z,16.62,31.45,22.06,18.55,26.82,4.343,184
2020-01-03T00:00:00.000Z,18.63,47.56,23.34,21.52,28.01,5.055,201
2020-01-04T00:00:00.000Z,8.32,39.89,24.44,19.97,27.96,7.101,328
2020-01-05T00:00:00.000Z,9.86,90.01,25.96,13.7,36.17,11.983,475
2020-01-06T00:00:00.000Z,23.28,69.68,41.67,32.79,53.23,12.014,166
2020-01-07T00:00:00.000Z,29.78,106.41,42.7,34.22,59.74,20.783,153
2020-01-08T00:00:00.000Z,32.49,64.8,45.92,41.68,47.77,6.129,77
2020-01-09T00:00:00.000Z,30.02,48.62,38.17,36.35,43,4.361,171
2020-01-10T00:00:00.000Z,23.2,61.54,35.79,27.38,38.88,9.821,178
2020-01-11T00:00:00.000Z,28.33,81.41,41.81,34.83,47.59,10.364,456
2020-01-12T00:00:00.000Z,20.58,82.06,35.33,26.92,40.42,12.615,466
2020-01-13T00:00:00.000Z,28.28,58.24,35.94,33.69,37.99,4.628,152
2020-01-14T00:00:00.000Z,18.82,90.66,22.3,20.93,26.49,7.622,137
2020-01-15T00:00:00.000Z,25.64,999.9,37.4,29.72,995.14,472.058,155
2020-01-16T00:00:00.000Z,24.86,39.99,30.12,28.02,31.24,2.277,147
2020-01-17T00:00:00.000Z,50.29,861.36,60.82,56.67,87.99,116.851,188
2020-01-18T00:00:00.000Z,58.12,999.9,71.8,64.91,79.8,351.626,421
2020-01-19T00:00:00.000Z,60.65,111.56,70.51,66.93,77.09,8.565,424
2020-01-20T00:00:00.000Z,53.42,902.78,67.29,60.99,70.62,112.342,138
2020-01-21T00:00:00.000Z,26.2,40.26,31.58,29.85,33.97,2.945,162
2020-01-23T00:00:00.000Z,18.57,31.26,20.89,19.8,23.48,2.462,67
2020-01-24T00:00:00.000Z,12.48,20.41,15.81,14.94,16.62,1.753,95
2020-01-25T00:00:00.000Z,5.4,19.52,6.73,6.26,15.34,4.529,246
2020-01-26T00:00:00.000Z,5.25,22.48,8.88,7.08,16.02,4.817,256
2020-01-27T00:00:00.000Z,6.86,31.28,19.16,8.63,24.52,7.892,50
2020-01-28T00:00:00.000Z,11.45,25.68,13.09,12.43,14.09,3.506,76
2020-01-29T00:00:00.000Z,9.82,22.91,13.37,11.66,14.84,3.227,94
2020-01-30T00:00:00.000Z,20.02,35.04,28.3,26.73,30.17,3.332,94
2020-01-31T00:00:00.000Z,40.36,59.44,47.28,42.64,51.57,5.328,84
2020-02-01T00:00:00.000Z,31.62,107.24,47.29,41.18,53.31,16.067,219
2020-02-02T00:00:00.000Z,42.79,103.82,61.55,51.86,71.26,14.365,308
2020-02-03T00:00:00.000Z,44.89,65.52,51.11,49.05,52.48,3.371,102
2020-02-04T00:00:00.000Z,26.44,37.78,31.12,28.78,34.67,3.181,73
2020-02-05T00:00:00.000Z,14.79,20.44,16.92,16.16,18.68,1.447,69
