date, pm25, pm10, o3, no2, so2, co
2024/10/1, 72, , , , , 
2024/10/2, 65, , , , , 
2024/10/3, 70, , , , , 
2024/10/4, 70, , , , , 
2024/10/5, 93, , , , , 
2024/10/6, 95, , , , , 
2024/10/7, 107, , , , , 
2024/10/8, 119, , , , , 
2024/10/9, 76, , , , , 
2024/10/10, 87, , , , , 
2024/10/11, 83, , , , , 
2024/10/12, 109, , , , , 
2024/10/13, 84, , , , , 
2024/10/14, 89, , , , , 
2024/10/15, 91, , , , , 
2024/10/16, 84, , , , , 
2024/10/17, 86, , , , , 
2024/10/18, 82, , , , , 
2024/10/19, 85, , , , , 
2024/10/20, 66, , , , , 
2024/10/21, 78, , , , , 
2024/10/22, 92, , , , , 
2024/10/23, 91, , , , , 
2024/10/24, 101, , , , , 
2024/10/25, 133, , , , , 
2024/10/26, 99, , , , , 
2024/10/27, 83, , , , , 
2024/10/28, 92, , , , , 
2024/10/29, 94, , , , , 
2024/10/30, 85, , , , , 
2024/7/1, 70, , , , , 
2024/7/2, 73, , , , , 
2024/7/3, 74, , , , , 
2024/7/4, 76, , , , , 
2024/7/5, 72, , , , , 
2024/7/6, 78, , , , , 
2024/7/7, 73, , , , , 
2024/7/8, 71, , , , , 
2024/7/9, 72, , , , , 
2024/7/10, 68, , , , , 
2024/7/11, 72, , , , , 
2024/7/12, 74, , , , , 
2024/7/13, 72, , , , , 
2024/7/14, 71, , , , , 
2024/7/15, 83, , , , , 
2024/7/16, 79, , , , , 
2024/7/17, 62, , , , , 
2024/7/18, 65, , , , , 
2024/7/19, 58, , , , , 
2024/7/20, 61, , , , , 
2024/7/21, 69, , , , , 
2024/7/22, 85, , , , , 
2024/7/23, 78, , , , , 
2024/7/24, 59, , , , , 
2024/7/25, 69, , , , , 
2024/7/26, 71, , , , , 
2024/7/27, 67, , , , , 
2024/7/28, 63, , , , , 
2024/7/29, 62, , , , , 
2024/7/30, 66, , , , , 
2024/7/31, 66, , , , , 
2024/8/1, 67, , , , , 
2024/8/2, 77, , , , , 
2024/8/3, 71, , , , , 
2024/8/4, 71, , , , , 
2024/8/5, 64, , , , , 
2024/8/6, 68, , , , , 
2024/8/7, 64, , , , , 
2024/8/8, 76, , , , , 
2024/8/9, 73, , , , , 
2024/8/10, 65, , , , , 
2024/8/11, 66, , , , , 
2024/8/12, 64, , , , , 
2024/8/13, 69, , , , , 
2024/8/14, 74, , , , , 
2024/8/15, 67, , , , , 
2024/8/16, 62, , , , , 
2024/8/17, 65, , , , , 
2024/8/18, 62, , , , , 
2024/8/19, 64, , , , , 
2024/8/20, 69, , , , , 
2024/8/21, 75, , , , , 
2024/8/22, 65, , , , , 
2024/8/23, 75, , , , , 
2024/8/24, 80, , , , , 
2024/8/25, 72, , , , , 
2024/8/26, 63, , , , , 
2024/8/27, 73, , , , , 
2024/8/28, 66, , , , , 
2024/8/29, 61, , , , , 
2024/8/30, 75, , , , , 
2024/8/31, 73, , , , , 
2024/9/1, 67, , , , , 
2024/9/2, 71, , , , , 
2024/9/3, 61, , , , , 
2024/9/4, 69, , , , , 
2024/9/5, 78, , , , , 
2024/9/6, 88, , , , , 
2024/9/7, 80, , , , , 
2024/9/8, 65, , , , , 
2024/9/9, 68, , , , , 
