date, pm25, pm10, o3, no2, so2, co
2024/10/1, 35, 31, , , 7, 
2024/10/2, 51, 31, , , 9, 
2024/10/3, 53, 43, , , 8, 
2024/10/4, 71, 65, , , 10, 
2024/10/5, 115, 57, , , 11, 
2024/10/6, 101, 61, , , 13, 
2024/10/7, 102, 72, , , 16, 
2024/10/8, 129, 52, , , 16, 
2024/10/9, 88, 65, , , 13, 
2024/10/10, 113, 63, , , 16, 
2024/10/11, 100, 64, , , 22, 
2024/10/12, 111, 49, , , 23, 
2024/10/13, 67, 50, , , 24, 
2024/10/14, 72, 54, , , 26, 
2024/10/15, 83, 45, , , 4, 
2024/10/16, 81, , , , 3, 
2024/10/17, 105, , , , 5, 
2024/10/18, 68, , , , 7, 
2024/10/19, 86, , , , 7, 
2024/10/20, 36, , , , 7, 
2024/10/21, 60, , , , 8, 
2024/10/22, 81, , , , 8, 
2024/10/23, 68, , , , 8, 
2024/10/24, 112, , , , 9, 
2024/10/25, 108, , , , 10, 
2024/10/26, 70, , , , 12, 
2024/10/27, 82, , , , , 
2024/7/1, 47, 38, , , , 
2024/7/2, 50, 27, , , , 
2024/7/3, 37, 30, , , , 
2024/7/4, 43, 27, , , , 
2024/7/5, 54, 37, , , , 
2024/7/6, 50, 28, , , , 
2024/7/7, 37, 27, , , , 
2024/7/8, 36, 41, , , , 
2024/7/9, 63, 36, , , , 
2024/7/10, 52, 38, , , , 
2024/7/11, 56, 34, , , , 
2024/7/12, 46, 38, , , , 
2024/7/13, 52, 31, , , , 
2024/7/14, 39, 45, , , , 
2024/7/15, 63, 47, , , , 
2024/7/16, 62, 46, , , , 
2024/7/17, 61, 33, , , , 
2024/7/18, 44, 22, , , , 
2024/7/19, 29, 23, , , , 
2024/7/20, 31, 34, , , , 
2024/7/21, 43, 47, , , , 
2024/7/22, 62, 45, , , , 
2024/7/23, 61, 28, , , , 
2024/7/24, 34, 33, , , , 
2024/7/25, 47, 33, , , , 
2024/7/26, 47, 30, , , , 
2024/7/27, 33, 22, , , , 
2024/7/28, 27, 20, , , , 
2024/7/29, 32, 21, , , , 
2024/7/30, 32, 24, , , , 
2024/7/31, 37, 26, , , , 
2024/8/1, 39, 40, , , , 
2024/8/2, 63, 31, , , , 
2024/8/3, 44, 28, , , , 
2024/8/4, 46, 29, , , , 
2024/8/5, 44, 40, , , , 
2024/8/6, 61, 35, , , , 
2024/8/7, 50, 42, , , , 
2024/8/8, 67, 39, , , , 
2024/8/9, 58, 30, , , 1, 
2024/8/10, 39, 34, , , 1, 
2024/8/11, 50, 31, , , 1, 
2024/8/12, 39, 38, , , 2, 
2024/8/13, 51, 43, , , 2, 
2024/8/14, 64, 36, , , 3, 
2024/8/15, 48, 37, , , 4, 
2024/8/16, 52, 36, , , 4, 
2024/8/17, 55, 25, , , 4, 
2024/8/18, 41, 33, , , 4, 
2024/8/19, 47, 35, , , 3, 
2024/8/20, 50, 42, , , 3, 
2024/8/21, 57, 31, , , 3, 
2024/8/22, 46, 31, , , 3, 
2024/8/23, 42, 40, , , 3, 
2024/8/24, 57, 38, , , 3, 
2024/8/25, 57, 35, , , 4, 
2024/8/26, 51, 29, , , 2, 
2024/8/27, 49, 29, , , 2, 
2024/8/28, 46, 33, , , 2, 
2024/8/29, 45, 44, , , 3, 
