date, pm25, pm10, so2, co
2024/10/1, 62, 34, 4, 
2024/10/2, 80, 12, , 
2024/10/3, 39, 7, , 
2024/10/4, 26, 14, , 
2024/10/5, 46, 15, , 
2024/10/6, 47, 22, , 
2024/10/7, 58, 27, 1, 
2024/10/8, 63, 16, 1, 
2024/10/9, 42, 15, 1, 
2024/10/10, 39, 8, 1, 
2024/10/11, 22, 14, 1, 
2024/10/12, 38, 25, 1, 
2024/10/13, 66, 20, 1, 
2024/10/14, 46, 25, 1, 
2024/10/15, 62, 19, 1, 
2024/10/16, 53, 35, 1, 
2024/10/17, 94, 32, 1, 
2024/10/18, 79, 29, 1, 
2024/10/19, 63, 30, 1, 
2024/10/20, 76, 45, 1, 
2024/10/21, 112, 56, 1, 
2024/10/22, 136, 56, 1, 
2024/10/23, 130, 46, 1, 
2024/10/24, 106, 61, 1, 
2024/10/25, 137, 65, 1, 
2024/10/26, 154, 62, 1, 
2024/10/27, 146, 64, 1, 
2024/10/28, 157, , , 
2024/7/1, 42, 8, , 
2024/7/2, 21, 8, , 
2024/7/3, 24, 10, , 
2024/7/4, 28, 10, 1, 
2024/7/5, 25, 14, 3, 
2024/7/6, 41, 16, 1, 
2024/7/7, 44, 19, , 
2024/7/8, 49, 31, , 
2024/7/9, 65, 31, 2, 
2024/7/10, 57, 27, 1, 
2024/7/11, 53, 29, 2, 
2024/7/12, 60, 22, 1, 
2024/7/13, 54, 20, 1, 
2024/7/14, 54, 20, 1, 
2024/7/15, 51, 23, 1, 
2024/7/16, 59, 25, 1, 
2024/7/17, 57, 19, , 
2024/7/18, 48, 19, 1, 
2024/7/19, 42, 15, , 
2024/7/20, 51, 16, , 
2024/7/21, 50, 17, , 
2024/7/22, 51, 19, , 
2024/7/23, 51, 14, 1, 
2024/7/24, 37, 9, 1, 
2024/7/25, 25, 13, 1, 
2024/7/26, 35, 16, 4, 
2024/7/27, 35, 16, 3, 
2024/7/28, 37, 7, 1, 
2024/7/29, 15, 13, 1, 
2024/7/30, 28, 18, 1, 
2024/7/31, 32, 20, 5, 
2024/8/1, 41, 14, 1, 
2024/8/2, 38, 7, , 
2024/8/3, 23, 12, , 
2024/8/4, 40, 10, , 
2024/8/5, 33, 10, 1, 
2024/8/6, 26, 15, 1, 
2024/8/7, 31, 14, 5, 
2024/8/8, 30, 10, 1, 
2024/8/9, 30, 11, 1, 
2024/8/10, 31, 12, 1, 
2024/8/11, 31, 14, 1, 
2024/8/12, 34, 20, 3, 
2024/8/13, 44, 26, 2, 
2024/8/14, 54, 18, 1, 
2024/8/15, 52, 19, 1, 
2024/8/16, 50, 23, 3, 
2024/8/17, 57, 22, , 
2024/8/18, 61, 22, 1, 
2024/8/19, 60, 15, 1, 
2024/8/20, 46, 18, 1, 
2024/8/21, 49, 15, 1, 
2024/8/22, 36, 17, 3, 
2024/8/23, 43, 20, 5, 
2024/8/24, 47, 18, 2, 
2024/8/25, 44, 18, 1, 
2024/8/26, 43, 20, , 
2024/8/27, 48, 22, 1, 
2024/8/28, 50, 25, , 
2024/8/29, 57, 29, , 
2024/8/30, 56, 32, , 
2024/8/31, 62, 25, , 
2024/9/1, 54, 27, , 
2024/9/2, 53, 29, , 
2024/9/3, 56, , 1, 
2024/9/8, 77, 33, 1, 
2024/9/9, 62, 6, , 
2024/9/10, 17, 11, , 
2024/9/11, 26, 15, 1, 
2024/9/12, 32, 3, , 
2024/9/13, 9, 3, , 
2024/9/14, 11, 2, , 
2024/9/15, 10, 6, , 
2024/9/16, 23, 13, 1, 
2024/9/17, 49, 23, 1, 
2024/9/18, 60, 33, 1, 
2024/9/19, 72, 26, 1, 
2024/9/20, 57, 31, 3, 
2024/9/21, 62, 32, 2, 
2024/9/22, 65, 32, 2, 
2024/9/23, 70, 29, 1, 
2024/9/24, 72, 20, , 
2024/9/25, 54, 22, 1, 
2024/9/26, 59, 25, 1, 
2024/9/27, 52, 16, , 
2024/9/28, 46, 7, , 
2024/9/29, 21, 15, , 
2024/9/30, 45, 23, 3, 
2024/4/1, 102, 4, , 
2024/4/2, 12, 13, , 
2024/4/3, 38, 15, , 
2024/4/4, 36, 16, , 
2024/4/5, 37, 20, , 
2024/4/6, 49, 22, , 
2024/4/7, 52, 23, 1, 
2024/4/8, 39, 30, 1, 
2024/4/9, 54, 28, , 
2024/4/10, 49, 19, , 
2024/4/11, 48, 28, 1, 
2024/4/12, 65, 24, , 
2024/4/13, 58, 21, , 
2024/4/14, 48, 21, , 
2024/4/15, 49, 22, 1, 
2024/4/16, 38, 4, , 
2024/4/17, 18, 11, , 
2024/4/18, 40, 13, , 
2024/4/19, 43, 16, 1, 
2024/4/20, 51, 5, , 
2024/4/21, 19, 17, , 
2024/4/22, 56, 20, 1, 
2024/4/23, 59, 16, , 
2024/4/24, 56, 21, 1, 
2024/4/25, 64, 17, , 
2024/4/26, 50, 14, , 
2024/4/27, 41, 15, 1, 
2024/4/28, 39, 18, 1, 
2024/4/29, 35, 21, 1, 
2024/4/30, 33, 13, 1, 
2024/5/1, 39, 18, 1, 
2024/5/2, 46, 6, , 
2024/5/3, 21, 11, 1, 
2024/5/4, 33, 15, 2, 
2024/5/5, 46, 9, , 
2024/5/6, 28, 8, , 
2024/5/7, 24, 9, , 
2024/5/8, 31, 17, 1, 
2024/5/9, 48, 17, , 
2024/5/10, 47, 16, 1, 
2024/5/11, 44, 15, 1, 
2024/5/12, 45, 13, 1, 
2024/5/13, 33, 12, , 
2024/5/14, 36, 17, , 
2024/5/15, 47, 15, 1, 
2024/5/16, 37, 15, , 
2024/5/17, 44, 13, , 
2024/5/18, 32, 17, , 
2024/5/19, 46, 17, 1, 
2024/5/20, 46, 23, 1, 
2024/5/21, 57, 8, , 
2024/5/22, 22, 6, , 
2024/5/23, 19, 9, 1, 
2024/5/24, 26, 16, 2, 
2024/5/25, 47, 13, 1, 
2024/5/26, 44, 19, 1, 
2024/5/27, 48, 18, 1, 
2024/5/28, 45, 12, , 
2024/5/29, 33, 11, , 
2024/5/30, 34, 10, 1, 
2024/5/31, 30, 6, , 
2024/6/1, 15, 8, 1, 
2024/6/2, 21, 12, 1, 
2024/6/3, 39, 7, , 
2024/6/4, 23, 11, , 
2024/6/5, 30, 14, , 
2024/6/6, 35, 19, 1, 
2024/6/7, 53, 23, 1, 
2024/6/8, 49, 24, 1, 
2024/6/9, 59, 19, 1, 
2024/6/10, 48, 10, , 
2024/6/11, 33, 9, , 
2024/6/12, 32, 12, , 
2024/6/13, 41, 12, , 
2024/6/14, 37, 12, 1, 
2024/6/15, 36, 13, 1, 
2024/6/16, 39, 15, 1, 
2024/6/17, 40, 21, 1, 
2024/6/18, 53, 26, 1, 
2024/6/19, 56, 27, 1, 
2024/6/20, 54, 50, 1, 
2024/6/21, 88, 49, 1, 
2024/6/22, 94, 15, , 
2024/6/23, 42, 19, 1, 
2024/6/24, 37, 19, 1, 
2024/6/25, 43, 25, 2, 
2024/6/26, 64, 14, 1, 
2024/6/27, 46, 18, 1, 
2024/6/28, 52, 17, , 
2024/6/29, 50, 19, 1, 
2024/6/30, 54, 17, , 
2024/1/1, 108, 36, , 
2024/1/2, 95, 21, , 
2024/1/3, 65, 46, 1, 
2024/1/4, 116, 57, 2, 
2024/1/5, 139, 40, 1, 
2024/1/6, 114, 14, , 
2024/1/7, 54, 19, , 
2024/1/8, 68, 25, , 
2024/1/9, 79, 43, , 
2024/1/10, 120, 47, 2, 
2024/1/11, 131, 35, 2, 
2024/1/12, 107, 46, 1, 
2024/1/13, 125, 56, 6, 
2024/1/14, 153, 49, 1, 
2024/1/15, 126, 24, 1, 
2024/1/16, 78, 44, 1, 
2024/1/17, 123, 26, 1, 
2024/1/18, 76, 15, , 
2024/1/19, 52, 23, , 
2024/1/20, 73, 39, , 
2024/1/21, 112, 57, 6, 
2024/1/22, 152, 40, 1, 
2024/1/23, 110, 59, 3, 
2024/1/24, 149, 44, 1, 
2024/1/25, 117, 43, , 
2024/1/26, 115, 13, , 
2024/1/27, 41, 18, , 
2024/1/28, 57, 46, , 
2024/1/29, 121, 44, 10, 
2024/1/30, 120, 68, 6, 
2024/1/31, 161, 81, 7, 
2024/2/1, 177, 55, 1, 
2024/2/2, 134, 45, , 
2024/2/3, 124, 60, 2, 
2024/2/4, 145, 55, , 
2024/2/5, 137, 38, , 
2024/2/6, 104, 36, , 
2024/2/7, 99, 37, , 
2024/2/8, 103, 32, , 
2024/2/9, 83, 34, , 
2024/2/10, 87, 14, 1, 
2024/2/11, 49, 26, , 
2024/2/12, 76, 23, , 
2024/2/13, 70, 27, , 
2024/2/14, 81, 36, , 
2024/2/15, 100, 39, 7, 
2024/2/16, 101, 44, 2, 
2024/2/17, 118, 25, , 
2024/2/18, 79, 39, 3, 
2024/2/19, 107, 30, , 
2024/2/20, 90, 30, , 
2024/2/21, 80, 32, , 
2024/2/22, 90, 13, , 
2024/2/23, 45, 12, , 
2024/2/24, 44, 29, , 
2024/2/25, 89, 37, , 
2024/2/26, 95, 48, , 
2024/2/27, 115, 58, , 
2024/2/28, 135, 60, , 
2024/2/29, 146, 50, , 
2024/3/1, 127, 27, , 
2024/3/2, 78, 34, , 
2024/3/3, 93, 39, , 
2024/3/4, 99, 49, 1, 
2024/3/5, 123, 41, , 
2024/3/6, 106, 37, , 
2024/3/7, 109, 25, 1, 
2024/3/8, 78, 29, 1, 
2024/3/9, 87, 26, 2, 
2024/3/10, 72, 12, 1, 
2024/3/11, 36, 6, , 
2024/3/12, 24, 16, , 
2024/3/13, 58, 25, , 
2024/3/14, 75, 35, , 
2024/3/15, 95, 37, , 
2024/3/16, 103, 19, , 
2024/3/17, 60, 15, 1, 
2024/3/18, 52, 18, , 
2024/3/19, 57, 31, , 
2024/3/20, 85, 41, , 
2024/3/21, 105, 45, , 
2024/3/22, 114, 27, 1, 
2024/3/23, 76, 8, , 
2024/3/24, 26, 23, , 
