,station,start_month,2017,2018,2019,2020,2021,2022,2023
0,chulalongkorn-hospital,1,203.0,186.0,101.0,173.0,64.0,87.0,38.0
1,chulalongkorn-hospital,2,149.0,106.0,49.0,98.0,112.0,62.0,84.0
2,chulalongkorn-hospital,3,116.0,107.0,44.0,72.0,109.0,73.0,90.0
3,chulalongkorn-hospital,4,125.0,136.0,117.0,75.0,85.0,103.0,103.0
4,chulalongkorn-hospital,5,130.0,157.0,107.0,76.0,83.0,97.0,80.0
5,chulalongkorn-hospital,6,125.0,151.0,164.0,125.0,38.0,79.0,68.0
6,chulalongkorn-hospital,7,162.0,310.0,193.0,125.0,37.0,116.0,91.0
7,chulalongkorn-hospital,8,162.0,270.0,242.0,129.0,41.0,87.0,94.0
8,chulalongkorn-hospital,9,139.0,186.0,206.0,121.0,92.0,76.0,62.0
9,chulalongkorn-hospital,10,83.0,144.0,375.0,227.0,68.0,76.0,68.0
10,chulalongkorn-hospital,11,107.0,104.0,541.0,186.0,81.0,90.0,85.0
11,chulalongkorn-hospital,12,197.0,179.0,310.0,81.0,89.0,99.0,88.0
12,samut-prakan,1,203.0,186.0,101.0,173.0,64.0,87.0,38.0
13,samut-prakan,2,149.0,106.0,49.0,98.0,112.0,62.0,84.0
14,samut-prakan,3,116.0,107.0,44.0,72.0,109.0,73.0,90.0
15,samut-prakan,4,125.0,136.0,117.0,75.0,85.0,103.0,103.0
16,samut-prakan,5,130.0,157.0,107.0,76.0,83.0,97.0,80.0
17,samut-prakan,6,125.0,151.0,164.0,125.0,38.0,79.0,68.0
18,samut-prakan,7,162.0,310.0,193.0,125.0,37.0,116.0,91.0
19,samut-prakan,8,162.0,270.0,242.0,129.0,41.0,87.0,94.0
20,samut-prakan,9,139.0,186.0,206.0,121.0,92.0,76.0,62.0
21,samut-prakan,10,83.0,144.0,375.0,227.0,68.0,76.0,68.0
22,samut-prakan,11,107.0,104.0,541.0,186.0,81.0,90.0,85.0
23,samut-prakan,12,197.0,179.0,310.0,81.0,89.0,99.0,88.0
24,samut-sakhon,1,203.0,186.0,101.0,173.0,64.0,87.0,38.0
25,samut-sakhon,2,149.0,106.0,49.0,98.0,112.0,62.0,84.0
26,samut-sakhon,3,116.0,107.0,44.0,72.0,109.0,73.0,90.0
27,samut-sakhon,4,125.0,136.0,117.0,75.0,85.0,103.0,103.0
28,samut-sakhon,5,130.0,157.0,107.0,76.0,83.0,97.0,80.0
29,samut-sakhon,6,125.0,151.0,164.0,125.0,38.0,79.0,68.0
30,samut-sakhon,7,162.0,310.0,193.0,125.0,37.0,116.0,91.0
31,samut-sakhon,8,162.0,270.0,242.0,129.0,41.0,87.0,94.0
32,samut-sakhon,9,139.0,186.0,206.0,121.0,92.0,76.0,62.0
33,samut-sakhon,10,83.0,144.0,375.0,227.0,68.0,76.0,68.0
34,samut-sakhon,11,107.0,104.0,541.0,186.0,81.0,90.0,85.0
35,samut-sakhon,12,197.0,179.0,310.0,81.0,89.0,99.0,88.0
36,thonburi-power,1,203.0,186.0,101.0,173.0,64.0,87.0,38.0
37,thonburi-power,2,149.0,106.0,49.0,98.0,112.0,62.0,84.0
38,thonburi-power,3,116.0,107.0,44.0,72.0,109.0,73.0,90.0
39,thonburi-power,4,125.0,136.0,117.0,75.0,85.0,103.0,103.0
40,thonburi-power,5,130.0,157.0,107.0,76.0,83.0,97.0,80.0
41,thonburi-power,6,125.0,151.0,164.0,125.0,38.0,79.0,68.0
42,thonburi-power,7,162.0,310.0,193.0,125.0,37.0,116.0,91.0
43,thonburi-power,8,162.0,270.0,242.0,129.0,41.0,87.0,94.0
44,thonburi-power,9,139.0,186.0,206.0,121.0,92.0,76.0,62.0
45,thonburi-power,10,83.0,144.0,375.0,227.0,68.0,76.0,68.0
46,thonburi-power,11,107.0,104.0,541.0,186.0,81.0,90.0,85.0
47,thonburi-power,12,197.0,179.0,310.0,81.0,89.0,99.0,88.0
