date, pm25, pm10, o3, no2, so2, co
2024/11/1, 53, 39, 20, 12, , 
2024/11/2, 71, 36, 24, 9, , 
2024/11/3, 69, 35, 21, 11, , 
2024/11/4, 71, 31, 16, 11, , 
2024/11/5, 52, 28, 12, 10, , 
2024/11/6, 46, 34, 17, 10, , 
2024/11/7, 62, 36, 18, 10, , 
2024/11/8, 61, 41, 4, 14, , 
2024/11/9, 73, , , , , 
2024/10/1, 18, 14, 8, 9, , 
2024/10/2, 26, 15, 11, 9, , 
2024/10/3, 30, 13, 6, 11, , 
2024/10/4, 22, 30, 23, 11, , 
2024/10/5, 53, 34, 27, 8, , 
2024/10/6, 68, 35, 25, 10, , 
2024/10/7, 69, 39, 22, 13, , 
2024/10/8, 70, 15, 12, 11, , 
2024/10/9, 35, 31, 14, 12, , 
2024/10/10, 57, 25, 14, 10, , 
2024/10/11, 48, 35, 24, 8, , 
2024/10/12, 73, 21, 13, 8, , 
2024/10/13, 43, 25, 19, 9, , 
2024/10/14, 49, 29, 23, 13, , 
2024/10/15, 62, 26, 13, 14, , 
2024/10/16, 48, 23, 26, 11, , 
2024/10/17, 41, 18, 18, 9, , 
2024/10/18, 38, 18, 12, 9, , 
2024/10/19, 37, 10, 10, 7, , 
2024/10/20, 20, 15, 14, 9, , 
2024/10/21, 31, 22, 17, 13, , 
2024/10/22, 44, 19, 18, 6, , 
2024/10/23, 41, 34, 22, 14, , 
2024/10/24, 64, 42, 20, 13, , 
2024/10/25, 85, 27, 17, 9, , 
2024/10/26, 48, 20, 13, 5, , 
2024/10/27, 35, 21, 18, 8, , 
2024/10/28, 42, 27, 26, 9, , 
2024/10/29, 50, 24, 24, 12, , 
2024/10/30, 47, 28, 20, 12, , 
2024/10/31, 54, 27, 18, 11, , 
2024/7/1, 29, 19, 13, 3, , 
2024/7/2, 33, 24, 8, 4, , 
2024/7/3, 40, 22, 5, 5, , 
2024/7/4, 38, 11, 2, 3, , 
2024/7/5, 26, 21, 17, 2, , 
2024/7/6, 34, 18, 15, 2, , 
2024/7/7, 36, 21, 12, 4, , 
2024/7/8, 35, 24, 14, 4, , 
2024/7/9, 39, 26, 6, 5, , 
2024/7/10, 43, 23, 13, 2, , 
2024/7/11, 37, 22, 10, 3, , 
2024/7/12, 40, 22, 7, 4, , 
2024/7/13, 37, 21, 12, 2, , 
2024/7/14, 33, 23, 8, 3, , 
2024/7/15, 40, 24, 6, 4, , 
2024/7/16, 37, 22, 12, 4, , 
2024/7/17, 36, 20, 10, 6, , 
2024/7/18, 34, 20, 8, 6, , 
2024/7/19, 35, 18, 11, 5, , 
2024/7/20, 30, 25, 12, 7, , 
2024/7/21, 46, 25, 10, 6, , 
2024/7/22, 43, 33, 10, 6, , 
2024/7/23, 56, 18, 11, 5, , 
2024/7/24, 31, 17, 5, 6, , 
2024/7/25, 31, 23, 8, 6, , 
2024/7/26, 43, 21, 9, 5, , 
2024/7/27, 37, 15, 11, 3, , 
2024/7/28, 26, 15, 9, 4, , 
2024/7/29, 25, 19, 7, 7, , 
2024/7/30, 38, 23, 6, 6, , 
2024/7/31, 38, 23, 6, 4, , 
2024/8/1, 35, 25, 11, 10, , 
2024/8/2, 45, 27, 7, 10, , 
2024/8/3, 48, 19, 19, 7, , 
2024/8/4, 37, 18, 14, 6, , 
2024/8/5, 33, 23, 13, 6, , 
2024/8/6, 38, 20, 10, 10, , 
2024/8/7, 41, 20, 16, 8, , 
2024/8/8, 44, 17, 14, 5, , 
2024/8/9, 40, 15, 13, 3, , 
2024/8/10, 29, 15, 9, 4, , 
2024/8/11, 26, 16, 9, 3, , 
2024/8/12, 28, 17, 11, 7, , 
2024/8/13, 36, 20, 12, 6, , 
2024/8/14, 39, 19, 15, 6, , 
2024/8/15, 34, 18, 14, 7, , 
2024/8/16, 35, 16, 15, 4, , 
2024/8/17, 35, 15, 18, 4, , 
2024/8/18, 30, 15, 15, 5, , 
2024/8/19, 31, 16, 11, 7, , 
2024/8/20, 34, 18, 9, 7, , 
2024/8/21, 42, 20, 12, 8, , 
2024/8/22, 45, 18, 13, 7, , 
2024/8/23, 44, 20, 11, 8, , 
2024/8/24, 52, 15, 12, 7, , 
2024/8/25, 43, 16, 16, 6, , 
