date, pm25, pm10, o3, no2, so2, co
2024/10/1, 48, , , , , 
2024/10/2, 38, , , , , 
2024/10/3, 37, , , , , 
2024/10/4, 46, , , , , 
2024/10/5, 77, , , , , 
2024/10/6, 91, , , , , 
2024/10/7, 85, , , , , 
2024/10/8, 94, , , , , 
2024/10/9, 57, , , , , 
2024/10/10, 90, , , , , 
2024/10/11, 77, , , , , 
2024/10/12, 90, , , , , 
2024/10/13, 61, , , , , 
2024/7/1, 54, , , , , 
2024/7/2, 61, , , , , 
2024/7/3, 60, , , , , 
2024/7/4, 59, , , , , 
2024/7/5, 43, , , , , 
2024/7/6, 56, , , , , 
2024/7/7, 44, , , , , 
2024/7/8, 44, , , , , 
2024/7/9, 55, , , , , 
2024/7/10, 65, , , , , 
2024/7/11, 63, , , , , 
2024/7/12, 58, , , , , 
2024/7/13, 65, , , , , 
2024/7/14, 54, , , , , 
2024/7/15, 66, , , , , 
2024/7/16, 73, , , , , 
2024/7/17, 61, , , , , 
2024/7/18, 57, , , , , 
2024/7/19, 54, , , , , 
2024/7/20, 56, , , , , 
2024/7/21, 55, , , , , 
2024/7/22, 74, , , , , 
2024/7/23, 72, , , , , 
2024/7/24, 53, , , , , 
2024/7/25, 58, , , , , 
2024/7/26, 68, , , , , 
2024/7/27, 62, , , , , 
2024/7/28, 43, , , , , 
2024/7/29, 32, , , , , 
2024/7/30, 57, , , , , 
2024/7/31, 56, , , , , 
2024/8/1, 54, , , , , 
2024/8/2, 70, , , , , 
2024/8/3, 72, , , , , 
2024/8/4, 47, , , , , 
2024/8/5, 49, , , , , 
2024/8/6, 59, , , , , 
2024/8/7, 59, , , , , 
2024/8/8, 64, , , , , 
2024/8/9, 59, , , , , 
2024/8/10, 51, , , , , 
2024/8/11, 54, , , , , 
2024/8/12, 46, , , , , 
2024/8/13, 55, , , , , 
2024/8/14, 74, , , , , 
2024/8/15, 61, , , , , 
2024/8/16, 59, , , , , 
2024/8/17, 50, , , , , 
2024/8/18, 43, , , , , 
2024/8/19, 54, , , , , 
2024/8/20, 51, , , , , 
2024/8/21, 50, , , , , 
2024/8/22, 62, , , , , 
2024/8/23, 44, , , , , 
2024/8/24, 49, , , , , 
2024/8/25, 52, , , , , 
2024/8/26, 52, , , , , 
2024/8/27, 55, , , , , 
2024/8/28, 46, , , , , 
2024/8/29, 50, , , , , 
2024/8/30, 64, , , , , 
2024/8/31, 57, , , , , 
2024/9/1, 53, , , , , 
2024/9/2, 46, , , , , 
2024/9/3, 58, , , , , 
2024/9/4, 64, , , , , 
2024/9/5, 70, , , , , 
2024/9/6, 69, , , , , 
2024/9/7, 72, , , , , 
