date, pm25, pm10, o3, no2, so2, co
2024/10/1, 31, 18, , , , 
2024/10/2, 33, 19, , , , 
2024/10/3, 40, 14, , , , 
2024/10/4, 30, 28, , , , 
2024/10/5, 52, 29, , , , 
2024/10/6, 66, 33, , , , 
2024/10/7, 66, 38, , , , 
2024/10/8, 72, 17, , , , 
2024/10/9, 40, 28, , , , 
2024/10/10, 59, 17, , , , 
2024/10/11, 37, , , , , 
2024/7/1, 24, 21, , , , 
2024/7/2, 35, 22, , , , 
2024/7/3, 30, 21, , , , 
2024/7/4, 39, 20, , , , 
2024/7/5, 30, 18, , , , 
2024/7/6, 40, 17, , , , 
2024/7/7, 36, 18, , , , 
2024/7/8, 35, 20, , , , 
2024/7/9, 36, 16, , , , 
2024/7/10, 28, 22, , , , 
2024/7/11, 38, 19, , , , 
2024/7/12, 36, 23, , , , 
2024/7/13, 44, 20, , , , 
2024/7/14, 37, 21, , , , 
2024/7/15, 36, 19, , , , 
2024/7/16, 35, 20, , , , 
2024/7/17, 34, 19, , , , 
2024/7/18, 35, 21, , , , 
2024/7/19, 36, 18, , , , 
2024/7/20, 34, 21, , , , 
2024/7/21, 39, 21, , , , 
2024/7/22, 40, 25, , , , 
2024/7/23, 44, 15, , , , 
2024/7/24, 25, 18, , , , 
2024/7/25, 32, 20, , , , 
2024/7/26, 42, 18, , , , 
2024/7/27, 35, 13, , , , 
2024/7/28, 19, 15, , , , 
2024/7/29, 23, 18, , , , 
2024/7/30, 35, 17, , , , 
2024/7/31, 29, 17, , , , 
2024/8/1, 31, 23, , , , 
2024/8/2, 48, 22, , , , 
2024/8/3, 44, 16, , , , 
2024/8/4, 28, 19, , , , 
2024/8/5, 36, 23, , , , 
2024/8/6, 42, 20, , , , 
2024/8/7, 36, 22, , , , 
2024/8/8, 43, 20, , , , 
2024/8/9, 40, 19, , , , 
2024/8/10, 32, 17, , , , 
2024/8/11, 31, 14, , , , 
2024/8/12, 20, 16, , , , 
2024/8/13, 32, 21, , , , 
2024/8/14, 38, 22, , , , 
2024/8/15, 34, 18, , , , 
2024/8/16, 30, 16, , , , 
2024/8/17, 26, 18, , , , 
2024/8/18, 30, 15, , , , 
2024/8/19, 27, 18, , , , 
2024/8/20, 33, 16, , , , 
2024/8/21, 29, 19, , , , 
2024/8/22, 33, 20, , , , 
2024/8/23, 34, 24, , , , 
2024/8/24, 50, 16, , , , 
2024/8/25, 34, 19, , , , 
2024/8/26, 37, 17, , , , 
2024/8/27, 32, 16, , , , 
2024/8/28, 25, 17, , , , 
2024/8/29, 24, 19, , , , 
2024/8/30, 37, 16, , , , 
2024/8/31, 26, 16, , , , 
2024/9/1, 28, 17, , , , 
2024/9/2, 28, 18, , , , 
2024/9/3, 30, 17, , , , 
2024/9/4, 32, 18, , , , 
2024/9/5, 30, 19, , , , 
2024/9/6, 38, 24, , , , 
2024/9/7, 46, 21, , , , 
2024/9/8, 47, 21, , , , 
2024/9/9, 37, 27, , , , 
2024/9/10, 54, 19, , , , 
2024/9/11, 37, 18, , , , 
2024/9/12, 26, 23, , , , 
2024/9/13, 48, 17, , , , 
2024/9/14, 35, 20, , , , 
2024/9/15, 40, 33, , , , 
2024/9/16, 62, 31, , , , 
2024/9/17, 63, 25, , , , 
2024/9/18, 52, 20, , , , 
2024/9/19, 44, 20, , , , 
2024/9/20, 38, 20, , , , 
2024/9/21, 40, 21, , , , 
2024/9/22, 43, 18, , , , 
2024/9/23, 38, 18, , , , 
2024/9/24, 37, 20, , , , 
2024/9/25, 39, 24, , , , 
2024/9/26, 52, 30, , , , 
2024/9/27, 61, 28, , , , 
2024/9/28, 61, 18, , , , 
2024/9/29, 37, 18, , , , 
2024/9/30, 32, 16, , , , 
2024/4/1, 76, 37, , , , 
2024/4/2, 75, 38, , , , 
2024/4/3, 78, 33, , , , 
2024/4/4, 72, 34, , , , 
2024/4/5, 72, 34, , , , 
2024/4/6, 76, 29, , , , 
2024/4/7, 64, 28, , , , 
2024/4/8, 61, 22, , , , 
2024/4/9, 43, 31, , , , 
2024/4/10, 63, 56, , , , 
2024/4/11, 126, 36, , , , 
2024/4/12, 77, 35, , , , 
2024/4/13, 75, 34, , , , 
2024/4/14, 75, 34, , , , 
2024/4/15, 72, 28, , , , 
2024/4/16, 63, 30, , , , 
2024/4/17, 63, 34, , , , 
2024/4/18, 68, 42, , , , 
2024/4/19, 85, 48, , , , 
2024/4/20, 104, 51, , , , 
2024/4/21, 107, 46, , , , 
2024/4/22, 95, 38, , , , 
2024/4/23, 76, 30, , , , 
2024/4/24, 61, 25, , , , 
2024/4/25, 44, 28, , , , 
2024/4/26, 54, 29, , , , 
2024/4/27, 53, 24, , , , 
2024/4/28, 45, 23, , , , 
2024/4/29, 38, 41, , , , 
2024/4/30, 81, 50, , , , 
2024/5/1, 107, 50, , , , 
2024/5/2, 100, 44, , , , 
2024/5/3, 89, 43, , , , 
2024/5/4, 84, 48, , , , 
2024/5/5, 96, 46, , , , 
2024/5/6, 95, 31, , , , 
2024/5/7, 59, 30, , , , 
2024/5/8, 54, 30, , , , 
2024/5/9, 54, 28, , , , 
2024/5/10, 53, 29, , , , 
2024/5/11, 52, 37, , , , 
2024/5/12, 69, 30, , , , 
2024/5/13, 52, 28, , , , 
2024/5/14, 59, 43, , , , 
2024/5/15, 85, 32, , , , 
2024/5/16, 62, 26, , , , 
2024/5/17, 45, 23, , , , 
2024/5/18, 46, 20, , , , 
2024/5/19, 40, 24, , , , 
2024/5/20, 43, 24, , , , 
2024/5/21, 38, 20, , , , 
2024/5/22, 38, 20, , , , 
2024/5/23, 30, 18, , , , 
2024/5/24, 25, 21, , , , 
2024/5/25, 26, 19, , , , 
2024/5/26, 22, 23, , , , 
2024/5/27, 29, 28, , , , 
2024/5/28, 38, 27, , , , 
2024/5/29, 45, 25, , , , 
2024/5/30, 40, 21, , , , 
2024/5/31, 28, 16, , , , 
2024/6/1, 16, 18, , , , 
2024/6/2, 21, 24, , , , 
2024/6/3, 34, 29, , , , 
2024/6/4, 49, 22, , , , 
2024/6/5, 38, 22, , , , 
2024/6/6, 31, 24, , , , 
2024/6/7, 42, 25, , , , 
2024/6/8, 43, 20, , , , 
2024/6/9, 21, 18, , , , 
2024/6/10, 21, 20, , , , 
2024/6/11, 27, 22, , , , 
2024/6/12, 29, 27, , , , 
2024/6/13, 44, 23, , , , 
2024/6/14, 41, 26, , , , 
2024/6/15, 45, 21, , , , 
2024/6/16, 41, 24, , , , 
2024/6/17, 34, 25, , , , 
2024/6/18, 46, 26, , , , 
2024/6/19, 42, 21, , , , 
2024/6/20, 33, 21, , , , 
2024/6/21, 26, 19, , , , 
2024/6/22, 24, 19, , , , 
2024/6/23, 26, 21, , , , 
2024/6/24, 27, 20, , , , 
2024/6/25, 24, 20, , , , 
2024/6/26, 21, 25, , , , 
2024/6/27, 48, 18, , , , 
2024/6/28, 35, 19, , , , 
2024/6/29, 27, 21, , , , 
2024/6/30, 27, 19, , , , 
2024/1/1, 64, 33, 20, , , 
2024/1/2, 66, 32, 24, , , 
2024/1/3, 70, 36, 19, , , 
2024/1/4, 70, 33, 22, , , 
2024/1/5, 67, 41, 30, , , 
2024/1/6, 79, 39, 25, , , 
2024/1/7, 78, 47, 30, , , 
2024/1/8, 86, 53, 37, , , 
2024/1/9, 112, 44, 37, , , 
2024/1/10, 89, 38, 22, , , 
2024/1/11, 75, 34, 20, , , 
2024/1/12, 67, 34, 23, , , 
2024/1/13, 68, 41, 23, , , 
2024/1/14, 83, 35, 21, , , 
2024/1/15, 71, 41, 22, , , 
2024/1/16, 70, 43, 25, , , 
2024/1/17, 85, 52, 34, , , 
2024/1/18, 95, 53, 35, , , 
2024/1/19, 111, 48, 29, , , 
2024/1/20, 96, 38, 27, , , 
2024/1/21, 85, 43, 32, , , 
2024/1/22, 89, 51, 19, , , 
2024/1/23, 106, 37, 19, , , 
2024/1/24, 64, 34, 19, , , 
2024/1/25, 67, 39, 27, , , 
2024/1/26, 75, 45, 27, , , 
2024/1/27, 94, 50, 25, , , 
2024/1/28, 103, 42, 25, , , 
2024/1/29, 88, 61, 33, , , 
2024/1/30, 131, 54, 39, , , 
2024/1/31, 123, 37, 20, , , 
2024/2/1, 76, 34, 19, , , 
2024/2/2, 66, 32, 16, , , 
2024/2/3, 66, 33, 23, , , 
2024/2/4, 70, 40, 35, , , 
2024/2/5, 82, 36, 22, , , 
2024/2/6, 73, 30, 18, , , 
2024/2/7, 66, 33, 16, , , 
2024/2/8, 64, 28, 15, , , 
2024/2/9, 60, 42, 16, , , 
2024/2/10, 83, 45, 26, , , 
2024/2/11, 84, 55, 25, , , 
2024/2/12, 119, 61, 32, , , 
2024/2/13, 128, 62, 44, , , 
2024/2/14, 137, 54, 41, , , 
2024/2/15, 121, 39, 26, , , 
2024/2/16, 77, 32, 13, , , 
2024/2/17, 65, 29, 14, , , 
2024/2/18, 54, 28, 11, , , 
2024/2/19, 53, 23, 12, , , 
2024/2/20, 43, 26, 10, , , 
2024/2/21, 50, 26, 13, , , 
2024/2/22, 51, 25, 15, , , 
2024/2/23, 47, 27, 18, , , 
2024/2/24, 55, 28, 24, , , 
2024/2/25, 54, 34, 29, , , 
2024/2/26, 70, 44, 30, , , 
2024/2/27, 86, 30, 21, , , 
2024/2/28, 61, 32, 16, , , 
2024/2/29, 60, 31, 18, , , 
2024/3/1, 59, 35, 18, , , 
2024/3/2, 67, 34, 22, , , 
2024/3/3, 68, 34, 22, , , 
2024/3/4, 67, 36, 23, , , 
2024/3/5, 66, 31, 17, , , 
2024/3/6, 58, 35, 26, , , 
2024/3/7, 72, 29, 16, , , 
2024/3/8, 63, 31, 16, , , 
2024/3/9, 65, 27, 14, , , 
2024/3/10, 51, 42, 19, , , 
2024/3/11, 87, 39, 14, , , 
2024/3/12, 77, 31, 16, , , 
2024/3/13, 65, 34, , , , 
2024/3/14, 62, 31, , , , 
2024/3/15, 58, 29, , , , 
2024/3/16, 59, 29, , , , 
2024/3/17, 59, 32, , , , 
2024/3/18, 67, 36, , , , 
2024/3/19, 77, 36, , , , 
2024/3/20, 80, 50, , , , 
2024/3/21, 94, 50, , , , 
2024/3/22, 113, 29, , , , 
2024/3/23, 57, 30, , , , 
2024/3/24, 62, 31, , , , 
2024/3/25, 68, 29, , , , 
2024/3/26, 61, 27, , , , 
2024/3/27, 57, 26, , , , 
2024/3/28, 55, 33, , , , 
2024/3/29, 70, 25, , , , 
2024/3/30, 53, 24, , , , 
2024/3/31, 50, 40, , , , 
2023/10/1, 36, 12, 10, , , 
2023/10/2, 31, 15, 12, , , 
2023/10/3, 34, 15, 7, , , 
2023/10/4, 36, 18, 14, , , 
2023/10/5, 44, 11, 9, , , 
2023/10/6, 32, 14, 9, , , 
2023/10/7, 36, 13, 10, , , 
2023/10/8, 32, 23, 17, , , 
2023/10/9, 59, 23, 12, , , 
2023/10/10, 61, 15, 9, , , 
2023/10/11, 38, 21, 17, 32, , 
2023/10/12, 45, 23, 18, 22, , 
2023/10/13, 57, 17, 25, 22, , 
2023/10/14, 44, 18, 22, 20, , 
2023/10/15, 49, 25, 22, 24, , 
2023/10/16, 59, 29, 25, 25, , 
2023/10/17, 75, 43, 28, 27, , 
2023/10/18, 92, 28, 14, 27, , 
2023/10/19, 60, 41, 23, 29, , 
2023/10/20, 81, 25, 14, , , 
2023/10/21, 64, 20, 16, 17, , 
2023/10/22, 41, 23, 26, 22, , 
2023/10/23, 50, 35, 21, 27, , 
2023/10/24, 69, 23, 20, 25, , 
2023/10/25, 51, 20, 19, 19, , 
2023/10/26, 42, 16, 17, 17, , 
