date, pm25, pm10, o3, no2, so2, co
2024/10/1, 54, , , , , 
2024/10/2, 43, , , , , 
2024/10/3, 51, , , , , 
2024/10/4, 54, , , , , 
2024/10/5, 78, , , , , 
2024/10/6, 88, , , , , 
2024/10/7, 87, , , , , 
2024/10/8, 103, , , , , 
2024/10/9, 73, , , , , 
2024/10/10, 83, , , , , 
2024/10/11, 72, , , , , 
2024/7/1, 62, , , , , 
2024/7/2, 61, , , , , 
2024/7/3, 57, , , , , 
2024/7/4, 62, , , , , 
2024/7/5, 63, , , , , 
2024/7/6, 66, , , , , 
2024/7/7, 71, , , , , 
2024/7/8, 60, , , , , 
2024/7/9, 72, , , , , 
2024/7/10, 64, , , , , 
2024/7/11, 63, , , , , 
2024/7/12, 60, , , , , 
2024/7/13, 64, , , , , 
2024/7/14, 64, , , , , 
2024/7/15, 64, , , , , 
2024/7/16, 60, , , , , 
2024/7/17, 57, , , , , 
2024/7/18, 59, , , , , 
2024/7/19, 57, , , , , 
2024/7/20, 53, , , , , 
2024/7/21, 66, , , , , 
2024/7/22, 72, , , , , 
2024/7/23, 75, , , , , 
2024/7/24, 60, , , , , 
2024/7/25, 56, , , , , 
2024/7/26, 68, , , , , 
2024/7/27, 61, , , , , 
2024/7/28, 55, , , , , 
2024/7/29, 53, , , , , 
2024/7/30, 57, , , , , 
2024/7/31, 54, , , , , 
2024/8/1, 57, , , , , 
2024/8/2, 68, , , , , 
2024/8/3, 66, , , , , 
2024/8/4, 67, , , , , 
2024/8/5, 56, , , , , 
2024/8/6, 73, , , , , 
2024/8/7, 56, , , , , 
2024/8/8, 63, , , , , 
2024/8/9, 64, , , , , 
2024/8/10, 54, , , , , 
2024/8/11, 52, , , , , 
2024/8/12, 51, , , , , 
2024/8/13, 55, , , , , 
2024/8/14, 81, , , , , 
2024/8/15, 56, , , , , 
2024/8/16, 57, , , , , 
2024/8/17, 52, , , , , 
2024/8/18, 54, , , , , 
2024/8/19, 55, , , , , 
2024/8/20, 55, , , , , 
2024/8/21, 57, , , , , 
2024/8/22, 58, , , , , 
2024/8/23, 55, , , , , 
2024/8/24, 66, , , , , 
2024/8/25, 60, , , , , 
2024/8/26, 55, , , , , 
2024/8/27, 61, , , , , 
2024/8/28, 56, , , , , 
2024/8/29, 56, , , , , 
2024/8/30, 59, , , , , 
2024/8/31, 64, , , , , 
2024/9/1, 55, , , , , 
2024/9/2, 60, , , , , 
2024/9/3, 60, , , , , 
2024/9/4, 65, , , , , 
2024/9/5, 64, , , , , 
2024/9/6, 65, , , , , 
2024/9/7, 70, , , , , 
2024/9/8, 63, , , , , 
2024/9/9, 62, , , , , 
2024/9/10, 71, , , , , 
2024/9/11, 67, , , , , 
2024/9/12, 70, , , , , 
2024/9/13, 71, , , , , 
2024/9/14, 67, , , , , 
2024/9/15, 64, , , , , 
2024/9/16, 80, , , , , 
2024/9/17, 80, , , , , 
