date, pm25, pm10, o3, no2, so2, co
2024/10/3, 36, , , , , 
2024/10/4, 38, , , , , 
2024/10/5, 66, , , , , 
2024/10/6, 73, , , , , 
2024/10/7, 75, , , , , 
2024/10/8, 92, , , , , 
2024/10/9, 53, , , , , 
2024/10/10, 60, , , , , 
2024/10/11, 58, , , , , 
2024/10/12, 76, , , , , 
2024/10/13, 53, , , , , 
2024/10/14, 53, , , , , 
2024/10/15, 66, , , , , 
2024/10/16, 57, , , , , 
2024/10/17, 58, , , , , 
2024/10/18, 55, , , , , 
2024/10/19, 44, , , , , 
2024/10/20, 27, , , , , 
2024/10/21, 48, , , , , 
2024/10/22, 57, , , , , 
2024/10/23, 51, , , , , 
2024/10/24, 64, , , , , 
2024/10/29, 57, , , , , 
2024/10/30, 31, , , , , 
2024/7/1, 24, , , , , 
2024/7/2, 36, , , , , 
2024/7/3, 44, , , , , 
2024/7/4, 44, , , , , 
2024/7/5, 21, , , , , 
2024/7/6, 39, , , , , 
2024/7/7, 29, , , , , 
2024/7/8, 38, , , , , 
2024/7/9, 53, , , , , 
2024/7/10, 44, , , , , 
2024/7/11, 45, , , , , 
2024/7/12, 43, , , , , 
2024/7/13, 49, , , , , 
2024/7/14, 48, , , , , 
2024/7/15, 50, , , , , 
2024/7/16, 44, , , , , 
2024/7/17, 39, , , , , 
2024/7/18, 36, , , , , 
2024/7/19, 37, , , , , 
2024/7/20, 38, , , , , 
2024/7/21, 53, , , , , 
2024/7/22, 63, , , , , 
2024/7/23, 61, , , , , 
2024/7/24, 33, , , , , 
2024/7/25, 37, , , , , 
2024/7/26, 46, , , , , 
2024/7/27, 47, , , , , 
2024/7/28, 29, , , , , 
2024/7/29, 31, , , , , 
2024/7/30, 43, , , , , 
2024/7/31, 40, , , , , 
2024/8/1, 48, , , , , 
2024/8/2, 56, , , , , 
2024/8/3, 52, , , , , 
2024/8/4, 43, , , , , 
2024/8/5, 40, , , , , 
2024/8/6, 52, , , , , 
2024/8/7, 40, , , , , 
2024/8/8, 61, , , , , 
2024/8/9, 50, , , , , 
2024/8/10, 43, , , , , 
2024/8/11, 35, , , , , 
2024/8/12, 36, , , , , 
2024/8/13, 43, , , , , 
2024/8/14, 52, , , , , 
2024/8/15, 44, , , , , 
2024/8/16, 45, , , , , 
2024/8/17, 45, , , , , 
2024/8/18, 38, , , , , 
2024/8/19, 41, , , , , 
2024/8/20, 47, , , , , 
2024/8/21, 44, , , , , 
2024/8/22, 48, , , , , 
2024/8/24, 59, , , , , 
2024/8/25, 48, , , , , 
2024/8/26, 41, , , , , 
2024/8/27, 54, , , , , 
2024/8/28, 41, , , , , 
2024/8/29, 44, , , , , 
2024/8/30, 46, , , , , 
2024/8/31, 40, , , , , 
2024/9/1, 38, , , , , 
2024/9/2, 49, , , , , 
2024/9/3, 46, , , , , 
2024/9/4, 48, , , , , 
2024/9/5, 48, , , , , 
2024/9/6, 53, , , , , 
2024/9/7, 58, , , , , 
2024/9/8, 51, , , , , 
2024/9/9, 50, , , , , 
2024/9/10, 54, , , , , 
2024/9/11, 52, , , , , 
2024/9/12, 57, , , , , 
2024/9/13, 62, , , , , 
2024/4/1, 79, , , , , 
2024/4/2, 75, , , , , 
2024/4/3, 79, , , , , 
2024/4/4, 67, , , , , 
2024/4/5, 72, , , , , 
2024/4/6, 72, , , , , 
2024/4/7, 64, , , , , 
2024/4/8, 62, , , , , 
2024/4/9, 50, , , , , 
2024/4/10, 56, , , , , 
2024/4/11, 121, , , , , 
2024/4/12, 78, , , , , 
2024/4/13, 73, , , , , 
2024/4/14, 72, , , , , 
2024/4/15, 71, , , , , 
2024/4/16, 62, , , , , 
2024/4/17, 63, , , , , 
2024/4/18, 69, , , , , 
2024/4/19, 83, , , , , 
2024/4/20, 102, , , , , 
2024/4/21, 110, , , , , 
2024/4/22, 87, , , , , 
2024/4/23, 78, , , , , 
2024/4/24, 62, , , , , 
2024/4/25, 44, , , , , 
2024/4/26, 49, , , , , 
2024/4/27, 58, , , , , 
2024/4/28, 43, , , , , 
2024/4/29, 44, , , , , 
2024/4/30, 78, , , , , 
2024/5/1, 103, , , , , 
2024/5/2, 92, , , , , 
2024/5/3, 87, , , , , 
2024/5/4, 79, , , , , 
2024/5/5, 92, , , , , 
2024/5/6, 90, , , , , 
2024/5/7, 60, , , , , 
2024/5/8, 64, , , , , 
2024/5/9, 57, , , , , 
2024/5/10, 53, , , , , 
2024/5/11, 55, , , , , 
2024/5/12, 69, , , , , 
2024/5/13, 48, , , , , 
2024/5/14, 61, , , , , 
2024/5/15, 73, , , , , 
2024/5/16, 63, , , , , 
2024/5/17, 48, , , , , 
2024/5/18, 47, , , , , 
2024/5/19, 38, , , , , 
2024/5/20, 42, , , , , 
2024/5/21, 39, , , , , 
2024/5/22, 36, , , , , 
2024/5/23, 29, , , , , 
2024/5/24, 34, , , , , 
2024/5/25, 29, , , , , 
2024/5/26, 26, , , , , 
2024/5/27, 31, , , , , 
2024/5/28, 37, , , , , 
2024/5/29, 35, , , , , 
2024/5/30, 42, , , , , 
2024/5/31, 35, , , , , 
2024/6/1, 33, , , , , 
2024/6/2, 23, , , , , 
2024/6/3, 31, , , , , 
2024/6/4, 46, , , , , 
2024/6/5, 37, , , , , 
2024/6/6, 38, , , , , 
2024/6/7, 44, , , , , 
2024/6/8, 41, , , , , 
2024/6/9, 26, , , , , 
2024/6/10, 19, , , , , 
2024/6/11, 36, , , , , 
2024/6/12, 32, , , , , 
2024/6/13, 55, , , , , 
2024/6/14, 48, , , , , 
2024/6/15, 48, , , , , 
2024/6/16, 44, , , , , 
2024/6/17, 42, , , , , 
2024/6/18, 46, , , , , 
2024/6/19, 42, , , , , 
2024/6/20, 32, , , , , 
2024/6/21, 25, , , , , 
2024/6/22, 24, , , , , 
2024/6/23, 22, , , , , 
2024/6/24, 28, , , , , 
2024/6/25, 28, , , , , 
2024/6/26, 31, , , , , 
2024/6/27, 50, , , , , 
2024/6/28, 40, , , , , 
2024/6/29, 37, , , , , 
2024/6/30, 31, , , , , 
2024/1/1, 78, , , , , 
2024/1/2, 82, , , , , 
2024/1/3, 79, , , , , 
2024/1/4, 91, , , , , 
2024/1/5, 77, , , , , 
2024/1/6, 93, , , , , 
2024/1/7, 95, , , , , 
2024/1/8, 103, , , , , 
2024/1/9, 143, , , , , 
2024/1/10, 114, , , , , 
2024/1/11, 100, , , , , 
2024/1/12, 80, , , , , 
2024/1/13, 86, , , , , 
2024/1/14, 100, , , , , 
2024/1/15, 89, , , , , 
2024/1/16, 90, , , , , 
2024/1/17, 109, , , , , 
2024/1/18, 119, , , , , 
2024/1/19, 141, , , , , 
2024/1/20, 127, , , , , 
2024/1/21, 100, , , , , 
2024/1/22, 106, , , , , 
2024/1/23, 123, , , , , 
2024/1/24, 86, , , , , 
2024/1/25, 75, , , , , 
2024/1/26, 94, , , , , 
2024/1/27, 115, , , , , 
2024/1/28, 131, , , , , 
2024/1/29, 109, , , , , 
2024/1/30, 143, , , , , 
2024/1/31, 147, , , , , 
2024/2/1, 93, , , , , 
2024/2/2, 73, , , , , 
2024/2/3, 105, , , , , 
2024/2/4, 73, , , , , 
2024/2/5, 87, , , , , 
2024/2/6, 81, , , , , 
2024/2/7, 78, , , , , 
2024/2/8, 74, , , , , 
2024/2/9, 74, , , , , 
2024/2/10, 98, , , , , 
2024/2/11, 97, , , , , 
2024/2/12, 134, , , , , 
2024/2/13, 138, , , , , 
2024/2/14, 158, , , , , 
2024/2/15, 138, , , , , 
2024/2/16, 90, , , , , 
2024/2/17, 73, , , , , 
2024/2/18, 63, , , , , 
2024/2/19, 60, , , , , 
2024/2/20, 51, , , , , 
2024/2/21, 57, , , , , 
2024/2/22, 57, , , , , 
2024/2/23, 57, , , , , 
2024/2/24, 57, , , , , 
2024/2/25, 60, , , , , 
2024/2/26, 77, , , , , 
2024/2/27, 97, , , , , 
2024/2/28, 72, , , , , 
2024/2/29, 64, , , , , 
2024/3/1, 67, , , , , 
2024/3/2, 74, , , , , 
2024/3/3, 77, , , , , 
2024/3/4, 72, , , , , 
2024/3/5, 70, , , , , 
2024/3/6, 67, , , , , 
2024/3/7, 80, , , , , 
2024/3/8, 72, , , , , 
2024/3/9, 68, , , , , 
2024/3/10, 59, , , , , 
2024/3/11, 94, , , , , 
2024/3/12, 81, , , , , 
2024/3/13, 70, , , , , 
2024/3/14, 65, , , , , 
2024/3/15, 61, , , , , 
2024/3/16, 64, , , , , 
2024/3/17, 64, , , , , 
2024/3/18, 75, , , , , 
2024/3/19, 80, , , , , 
2024/3/20, 88, , , , , 
2024/3/21, 114, , , , , 
2024/3/22, 115, , , , , 
2024/3/23, 65, , , , , 
2024/3/24, 65, , , , , 
2024/3/25, 68, , , , , 
2024/3/26, 62, , , , , 
2024/3/27, 64, , , , , 
2024/3/28, 62, , , , , 
2024/3/29, 71, , , , , 
2024/3/30, 57, , , , , 
2024/3/31, 55, , , , , 
2023/10/4, 43, , , , , 
2023/10/5, 50, , , , , 
2023/10/6, 35, , , , , 
2023/10/7, 41, , , , , 
2023/10/8, 35, , , , , 
2023/10/9, 58, , , , , 
2023/10/10, 58, , , , , 
2023/10/11, 49, , , , , 
2023/10/12, 87, , , , , 
2023/10/13, 66, , , , , 
2023/10/14, 55, , , , , 
2023/10/15, 54, , , , , 
2023/10/16, 58, , , , , 
2023/10/17, 80, , , , , 
2023/10/18, 95, , , , , 
2023/10/19, 78, , , , , 
2023/10/20, 95, , , , , 
2023/10/21, 65, , , , , 
2023/10/22, 52, , , , , 
2023/10/23, 71, , , , , 
2023/10/24, 76, , , , , 
2023/10/25, 66, , , , , 
2023/10/26, 66, , , , , 
2023/10/27, 50, , , , , 
2023/10/28, 64, , , , , 
2023/10/29, 73, , , , , 
2023/10/30, 58, , , , , 
2023/10/31, 43, , , , , 
2023/11/1, 55, , , , , 
2023/11/2, 82, , , , , 
2023/11/3, 90, , , , , 
2023/11/4, 100, , , , , 
2023/11/5, 66, , , , , 
2023/11/6, 67, , , , , 
2023/11/7, 51, , , , , 
2023/11/8, 61, , , , , 
2023/11/9, 66, , , , , 
2023/11/10, 62, , , , , 
2023/11/11, 61, , , , , 
2023/11/12, 51, , , , , 
2023/11/13, 53, , , , , 
2023/11/14, 45, , , , , 
2023/11/15, 51, , , , , 
2023/11/16, 45, , , , , 
2023/11/17, 43, , , , , 
2023/11/18, 65, , , , , 
2023/11/19, 75, , , , , 
2023/11/20, 74, , , , , 
2023/11/21, 83, , , , , 
2023/11/22, 95, , , , , 
2023/11/23, 90, , , , , 
2023/11/24, 85, , , , , 
2023/11/25, 61, , , , , 
2023/11/26, 76, , , , , 
2023/11/27, 54, , , , , 
2023/11/28, 82, , , , , 
