date, pm25, pm10, o3, no2, so2, co
2024/10/1, 47, 23, , 9, , 
2024/10/2, 53, 19, , 9, , 
2024/10/3, 46, 21, , 11, , 
2024/10/4, 50, 41, , 11, , 
2024/10/5, 84, 46, , 8, , 
2024/10/6, 97, 48, , 10, , 
2024/10/7, 109, 50, , 13, , 
2024/10/8, 111, 24, , 11, , 
2024/10/9, 56, 40, , 12, , 
2024/10/10, 89, 32, , 10, , 
2024/10/11, 75, 49, , 8, , 
2024/10/12, 114, 34, , 8, , 
2024/10/13, 75, 41, , 9, , 
2024/10/14, 84, 42, , 13, , 
2024/10/15, 95, 35, , 14, , 
2024/10/16, 76, 30, , 11, , 
2024/10/17, 67, 28, , 9, , 
2024/10/18, 65, 32, , 9, , 
2024/10/19, 73, 19, , 7, , 
2024/10/20, 45, 22, , 9, , 
2024/10/21, 53, 30, , 13, , 
2024/10/22, 69, 27, , 6, , 
2024/10/23, 60, 43, , 14, , 
2024/10/24, 93, 58, , 13, , 
2024/10/25, 122, 33, , 9, , 
2024/10/26, 72, 24, , 5, , 
2024/10/27, 55, 29, , 8, , 
2024/10/28, 67, 34, , 9, , 
2024/10/29, 77, 23, , 8, , 
2024/10/30, 60, , , , , 
2024/7/1, 35, 21, , 3, , 
2024/7/2, 44, 23, , 4, , 
2024/7/3, 49, 24, , 5, , 
2024/7/4, 52, 18, , 1, , 
2024/7/5, 46, 20, , 2, , 
2024/7/6, 46, 16, , 2, , 
2024/7/7, 35, 24, , 4, , 
2024/7/8, 51, 20, , 4, , 
2024/7/9, 46, 23, , 5, , 
2024/7/10, 49, 20, , 2, , 
2024/7/11, 43, 20, , 3, , 
2024/7/12, 44, 22, , 4, , 
2024/7/13, 47, 18, , 2, , 
2024/7/14, 38, 22, , 3, , 
2024/7/15, 48, 19, , 4, , 
2024/7/16, 41, 16, , 4, , 
2024/7/17, 35, 16, , 6, , 
2024/7/18, 34, 17, , 6, , 
2024/7/19, 36, 18, , 5, , 
2024/7/20, 41, 24, , 7, , 
2024/7/21, 51, 26, , 6, , 
2024/7/22, 55, 33, , 6, , 
2024/7/23, 64, 16, , 5, , 
2024/7/24, 34, 16, , 6, , 
2024/7/25, 37, 25, , 6, , 
2024/7/26, 53, 19, , 5, , 
2024/7/27, 44, 19, , 3, , 
2024/7/28, 45, 15, , 4, , 
2024/7/29, 34, 23, , 7, , 
2024/7/30, 51, 21, , 6, , 
2024/7/31, 44, 21, , 4, , 
2024/8/1, 47, 24, , 10, , 
2024/8/2, 54, 30, , 10, , 
2024/8/3, 63, 19, , 7, , 
2024/8/4, 46, 16, , 6, , 
2024/8/5, 37, 21, , 6, , 
2024/8/6, 43, 23, , 10, , 
2024/8/7, 53, 25, , 8, , 
2024/8/8, 53, 21, , 5, , 
2024/8/9, 46, 15, , 3, , 
2024/8/10, 32, 15, , 4, , 
2024/8/11, 32, 17, , 3, , 
2024/8/12, 36, 20, , 7, , 
2024/8/13, 44, 20, , 6, , 
2024/8/14, 42, 18, , 6, , 
2024/8/15, 36, 17, , 7, , 
2024/8/16, 34, 14, , 4, , 
2024/8/17, 29, 18, , 4, , 
2024/8/18, 40, 16, , 5, , 
2024/8/19, 34, 17, , 7, , 
2024/8/20, 38, 20, , 7, , 
2024/8/21, 45, 17, , 8, , 
2024/8/22, 36, 20, , 7, , 
2024/8/23, 39, 32, , 8, , 
2024/8/24, 69, 27, , 7, , 
2024/8/25, 61, 21, , 6, , 
2024/8/26, 46, 16, , 7, , 
2024/8/27, 35, 17, , 7, , 
2024/8/28, 38, 18, , 6, , 
2024/8/29, 36, 19, , 8, , 
2024/8/30, 41, 15, , 6, , 
2024/8/31, 33, 16, , 4, , 
2024/9/1, 36, 22, , 7, , 
2024/9/2, 51, 16, , 6, , 
2024/9/3, 39, 16, , 8, , 
2024/9/4, 35, 20, , 6, , 
2024/9/5, 41, 20, , 4, , 
2024/9/6, 45, 26, , 6, , 
2024/9/7, 54, 23, , 4, , 
2024/9/8, 49, 26, , 6, , 
2024/9/9, 53, 34, , 6, , 
2024/9/10, 66, 27, , 6, , 
2024/9/11, 56, 24, , 7, , 
2024/9/12, 51, 27, , 8, , 
2024/9/13, 56, 27, , 6, , 
2024/9/14, 58, 26, , 5, , 
2024/9/15, 55, 43, , 5, , 
2024/9/16, 75, 41, , 9, , 
2024/9/17, 77, 30, , 9, , 
2024/9/18, 66, 31, , 7, , 
2024/9/19, 72, 19, , 8, , 
2024/9/20, 44, 35, , 13, , 
2024/9/21, 76, 27, , 6, , 
2024/9/22, 61, 29, , 11, , 
2024/9/23, 62, 26, , 11, , 
2024/9/24, 57, 33, , 14, , 
2024/9/25, 74, 36, , 13, , 
2024/9/26, 75, 47, , 14, , 
2024/9/27, 104, 38, , 14, , 
2024/9/28, 85, 26, , 4, , 
2024/9/29, 66, 18, , 5, , 
2024/9/30, 42, 22, , 8, , 
2024/4/1, 110, 48, , 3, , 
2024/4/2, 101, 49, , 3, , 
2024/4/3, 106, 40, , 3, , 
2024/4/4, 85, 35, , 3, , 
2024/4/5, 76, 34, , 1, , 
2024/4/6, 75, 37, , 2, , 
2024/4/7, 66, 30, , 2, , 
2024/4/8, 67, 26, , 5, , 
2024/4/9, 56, 54, , 5, , 
2024/4/10, 107, 67, , 6, , 
2024/4/11, 150, 46, , , , 
2024/4/12, 99, 43, , 2, , 
2024/4/13, 91, 41, , 2, , 
2024/4/14, 89, 38, , , , 
2024/4/15, 87, 32, , , , 
2024/4/16, 76, 32, , 1, , 
2024/4/17, 75, 35, , 4, , 
2024/4/18, 79, 42, , 5, , 
2024/4/19, 95, 52, , 5, , 
2024/4/20, 116, 55, , 3, , 
2024/4/21, 113, 48, , 1, , 
2024/4/22, 98, 40, , 2, , 
2024/4/23, 85, 30, , 2, , 
2024/4/24, 68, 23, , 3, , 
2024/4/25, 52, 25, , 3, , 
2024/4/26, 57, 34, , 4, , 
2024/4/27, 72, 24, , , , 
2024/4/28, 55, 24, , 2, , 
2024/4/29, 53, 41, , 4, , 
2024/4/30, 89, 50, , 2, , 
2024/5/1, 114, 52, , 2, , 
2024/5/2, 108, 46, , 2, , 
2024/5/3, 97, 44, , 1, , 
2024/5/4, 94, 51, , 2, , 
2024/5/5, 106, 49, , 1, , 
2024/5/6, 102, 35, , 12, , 
2024/5/7, 76, 38, , 12, , 
2024/5/8, 79, 33, , 11, , 
2024/5/9, 75, 26, , 6, , 
2024/5/10, 60, 31, , 6, , 
2024/5/11, 71, 46, , 4, , 
2024/5/12, 99, 32, , 6, , 
2024/5/13, 71, 38, , 7, , 
2024/5/14, 82, 51, , 10, , 
2024/5/15, 110, 37, , 7, , 
2024/5/16, 81, 25, , 3, , 
2024/5/17, 57, 27, , 5, , 
2024/5/18, 61, 20, , 3, , 
2024/5/19, 44, 28, , 7, , 
2024/5/20, 64, 25, , 5, , 
2024/5/21, 54, 29, , 4, , 
2024/5/22, 67, 22, , 6, , 
2024/5/23, 47, 17, , 5, , 
2024/5/24, 37, 21, , 3, , 
2024/5/25, 37, 17, , 2, , 
2024/5/26, 32, 25, , 4, , 
2024/5/27, 48, 31, , 3, , 
2024/5/28, 54, 29, , 4, , 
2024/5/29, 58, 18, , 3, , 
2024/5/30, 36, 20, , 3, , 
2024/5/31, 46, 16, , 3, , 
2024/6/1, 30, 17, , 1, , 
2024/6/2, 35, 23, , 3, , 
2024/6/3, 48, 29, , 4, , 
2024/6/4, 57, 20, , 2, , 
2024/6/5, 40, 20, , 1, , 
2024/6/6, 41, 24, , 3, , 
2024/6/7, 51, 27, , 2, , 
2024/6/8, 55, 16, , 1, , 
2024/6/9, 31, 15, , 3, , 
2024/6/10, 27, 18, , 3, , 
2024/6/11, 37, 18, , 3, , 
2024/6/12, 36, 27, , 3, , 
2024/6/13, 57, 25, , 2, , 
2024/6/14, 52, 24, , 2, , 
2024/6/15, 50, 21, , , , 
2024/6/16, 43, 21, , 3, , 
2024/6/17, 46, 24, , 4, , 
2024/6/18, 53, 23, , 4, , 
2024/6/19, 52, 19, , 3, , 
2024/6/20, 40, 17, , 2, , 
2024/6/21, 34, 13, , 2, , 
2024/6/22, 25, 16, , 2, , 
2024/6/23, 34, 16, , 3, , 
2024/6/24, 35, 16, , 2, , 
2024/6/25, 34, 24, , 8, , 
2024/6/26, 53, 29, , 6, , 
2024/6/27, 64, 23, , 4, , 
2024/6/28, 52, 23, , 3, , 
2024/6/29, 52, 21, , 2, , 
2024/6/30, 48, 17, , 1, , 
2024/1/1, 126, 58, , 12, , 
2024/1/2, 122, 54, , 15, , 
2024/1/3, 116, 59, , 15, , 
2024/1/4, 117, 64, , 16, , 
2024/1/5, 129, 68, , 13, , 
2024/1/6, 137, 67, , 13, , 
2024/1/7, 136, 75, , 20, 1, 
2024/1/8, 156, 82, , 24, , 
2024/1/9, 165, 73, , 13, , 
2024/1/10, 160, 61, , 13, , 
2024/1/11, 142, 49, , 9, , 
2024/1/12, 110, 53, , 7, , 
2024/1/13, 120, 67, , 7, , 
2024/1/14, 140, 67, , 11, 1, 
2024/1/15, 133, 68, , 14, 1, 
2024/1/16, 137, 69, , 14, , 
2024/1/17, 145, 72, , 16, 1, 
2024/1/18, 149, 66, , 21, , 
2024/1/19, 132, 63, , 15, , 
2024/1/20, 138, 50, , 12, , 
2024/1/21, 110, 55, , 15, , 
2024/1/22, 119, 66, , 11, , 
2024/1/23, 144, 53, , 8, , 
2024/1/24, 89, 47, , 10, , 
2024/1/25, 80, 52, , 8, , 
2024/1/26, 101, 59, , 8, 1, 
2024/1/27, 127, 64, , 11, , 
2024/1/28, 139, 58, , 11, , 
2024/1/29, 117, 74, , 13, , 
2024/1/30, 159, 67, , 10, 1, 
