date, pm25, pm10, o3, no2, so2, co
2024/10/1, 31, 11, , , , 
2024/10/2, 24, 11, , , , 
2024/10/3, 21, 11, , , , 
2024/10/4, 25, 12, , , , 
2024/10/5, 55, 13, , , , 
2024/10/6, 53, 16, , , , 
2024/10/7, 60, 18, , , , 
2024/10/8, 71, 18, , , , 
2024/10/9, 38, 16, , , , 
2024/10/10, 36, 13, , , , 
2024/10/11, 48, 13, , , , 
2024/10/12, 37, 15, , , , 
2024/10/13, 32, 14, , , , 
2024/10/14, 37, 13, , , , 
2024/10/15, 39, 12, , , , 
2024/10/16, 22, 12, , , , 
2024/10/17, 32, 10, , , , 
2024/10/18, 32, 9, , , , 
2024/10/19, 40, 11, , , , 
2024/10/20, 22, 17, , , , 
2024/10/21, 41, 18, , , , 
2024/10/22, 61, 14, , , , 
2024/10/23, 32, 13, , , , 
2024/10/24, 57, 11, , , , 
2024/10/25, 67, 13, , , , 
2024/10/26, 46, 15, , , , 
2024/10/27, 40, 16, , , , 
2024/10/28, 34, 16, , , , 
2024/10/29, 49, 15, , , , 
2024/10/30, 36, , , , , 
2024/7/1, 21, 10, , , , 
2024/7/2, 22, 14, , , , 
2024/7/3, 32, 11, , , , 
2024/7/4, 36, , , , , 
2024/7/5, 26, , , , , 
2024/7/6, 44, , , , , 
2024/7/7, 30, , , , , 
2024/7/8, 44, , , , , 
2024/7/9, 44, , , , , 
2024/7/10, 42, , , , , 
2024/7/11, 41, , , , , 
2024/7/12, 29, , , , , 
2024/7/13, 43, , , , , 
2024/7/14, 37, , , , , 
2024/7/15, 40, , , , , 
2024/7/16, 36, , , , , 
2024/7/17, 33, , , , , 
2024/7/18, 31, , , , , 
2024/7/19, 30, , , , , 
2024/7/20, 30, , , , , 
2024/7/21, 48, , , , , 
2024/7/22, 48, , , , , 
2024/7/23, 55, , , , , 
2024/7/24, 27, , , , , 
2024/7/25, 34, , , , , 
2024/7/26, 42, , , , , 
2024/7/27, 36, , , , , 
2024/7/28, 29, , , , , 
2024/7/29, 26, , , , , 
2024/7/30, 37, , , , , 
2024/7/31, 32, , , , , 
2024/8/1, 37, , , , , 
2024/8/2, 46, , , , , 
2024/8/3, 48, , , , , 
2024/8/4, 40, , , , , 
2024/8/5, 35, 13, , , , 
2024/8/6, 34, 15, , , , 
2024/8/7, 32, 16, , , , 
2024/8/8, 35, 16, , , , 
2024/8/9, 33, 13, , , , 
2024/8/10, 28, 12, , , , 
2024/8/11, 23, 10, , , , 
2024/8/12, 20, 14, , , , 
2024/8/13, 25, 14, , , , 
2024/8/14, 28, 11, , , , 
2024/8/15, 28, 11, , , , 
2024/8/16, 22, 9, , , , 
2024/8/17, 17, 10, , , , 
2024/8/18, 23, 10, , , , 
2024/8/19, 21, 12, , , , 
2024/8/20, 29, 16, , , , 
2024/8/21, 30, 13, , , , 
2024/8/22, 22, 10, , , , 
2024/8/23, 20, 13, , , , 
2024/8/24, 40, 10, , , , 
2024/8/25, 25, 14, , , , 
2024/8/26, 28, 11, , , , 
2024/8/27, 35, 10, , , , 
2024/8/28, 22, 15, , , , 
2024/8/29, 31, 16, , , , 
2024/8/30, 33, , , , , 
2024/8/31, 28, , , , , 
2024/9/1, 28, , , , , 
2024/9/2, 39, 10, , , , 
2024/9/3, 33, 14, , , , 
2024/9/4, 28, 13, , , , 
2024/9/5, 28, 15, , , , 
2024/9/6, 26, 16, , , , 
2024/9/7, 33, 17, , , , 
2024/9/8, 36, 18, , , , 
2024/9/9, 41, 22, , , , 
2024/9/10, 50, 18, , , , 
2024/9/11, 40, 17, , , , 
2024/9/12, 39, 15, , , , 
2024/9/13, 40, 12, , , , 
2024/9/14, 36, 13, , , , 
2024/9/15, 33, 14, , , , 
2024/9/16, 35, 22, , , , 
2024/9/17, 50, 20, , , , 
2024/9/18, 44, 13, , , , 
2024/9/19, 31, 17, , , , 
2024/9/20, 35, 23, , , , 
2024/9/21, 47, 18, , , , 
2024/9/22, 34, 14, , , , 
2024/9/23, 26, 14, , , , 
2024/9/24, 21, 17, , , , 
2024/9/25, 39, 20, , , , 
2024/9/26, 33, 18, , , , 
2024/9/27, 29, 15, , , , 
2024/9/28, 31, 20, , , , 
2024/9/29, 31, 12, , , , 
2024/9/30, 29, 11, , , , 
2024/4/1, 136, 95, , , , 
2024/4/2, 115, 95, , , , 
2024/4/3, 116, 86, , , , 
2024/4/4, 96, 95, , , , 
2024/4/5, 86, 109, , , , 
2024/4/6, 108, 119, , , , 
2024/4/7, 132, 95, , , , 
2024/4/8, 97, 95, , , , 
2024/4/9, 134, 46, , , , 
2024/4/10, 83, 26, , , , 
2024/4/11, 116, 39, , , , 
2024/4/12, 92, 42, , , , 
2024/4/13, 85, 58, , , , 
2024/4/14, 109, 48, , , , 
2024/4/15, 106, 46, , , , 
2024/4/16, 100, 59, , , , 
2024/4/17, 98, 67, , , , 
2024/4/18, 114, 74, , , , 
2024/4/19, 155, 64, , , , 
2024/4/20, 114, 63, , , , 
2024/4/21, 126, 61, , , , 
2024/4/22, 101, 67, , , , 
2024/4/23, 107, 66, , , , 
2024/4/24, 111, 61, , , , 
2024/4/25, 121, 65, , , , 
2024/4/26, 132, 63, , , , 
2024/4/27, 143, 66, , , , 
2024/4/28, 120, 69, , , , 
2024/4/29, 139, 65, , , , 
2024/4/30, 124, 68, , , , 
2024/5/1, 134, 69, , , , 
2024/5/2, 124, 60, , , , 
2024/5/3, 111, 62, , , , 
2024/5/4, 95, 61, , , , 
2024/5/5, 128, 78, , , , 
2024/5/6, 120, 59, , , , 
2024/5/7, 72, 35, , , , 
2024/5/8, 77, 35, , , , 
2024/5/9, 79, 27, , , , 
2024/5/10, 61, 22, , , , 
2024/5/11, 58, 22, , , , 
2024/5/12, 80, 20, , , , 
2024/5/13, 52, 18, , , , 
2024/5/14, 63, 23, , , , 
2024/5/15, 81, 26, , , , 
2024/5/16, 73, 22, , , , 
